week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	MT	Malta	512	82	3667123	1080242	28464	1395
w019	Week 19	2019-05-06	2019-05-12	MT	Malta	738	99	12271404	4210183	60695	6422
w018	Week 18	2019-04-29	2019-05-05	MT	Malta	687	117	7428850	2458364	33378	2487
w017	Week 17	2019-04-22	2019-04-28	MT	Malta	599	124	4205038	1445591	19574	1470
w016	Week 16	2019-04-15	2019-04-21	MT	Malta	538	162	1374654	408291	8003	312
w015	Week 15	2019-04-08	2019-04-14	MT	Malta	771	244	2047530	647080	10494	512
w014	Week 14	2019-04-01	2019-04-07	MT	Malta	671	243	1884317	603758	9387	704
w013	Week 13	2019-03-25	2019-03-31	MT	Malta	572	217	1633453	559106	7000	529
w012	Week 12	2019-03-18	2019-03-24	MT	Malta	456	193	1445534	566404	6469	421
w011	Week 11	2019-03-11	2019-03-17	MT	Malta	283	117	1165652	420037	5224	517
w010	Week 10	2019-03-04	2019-03-10	MT	Malta	277	99	1118279	385890	6068	422
w009	Week 9	2019-02-25	2019-03-03	MT	Malta	181	72	715795	197578	5187	440
w008	Week 8	2019-02-18	2019-02-24	MT	Malta	133	60	707018	251546	4520	467
w007	Week 7	2019-02-11	2019-02-17	MT	Malta	109	53	961043	358156	4709	515
w006	Week 6	2019-02-04	2019-02-10	MT	Malta	87	37	1635262	720155	8166	1286
w005	Week 5	2019-01-28	2019-02-03	MT	Malta	103	40	234733	57206	1231	19
w004	Week 4	2019-01-21	2019-01-27	MT	Malta	93	39	353716	124699	2394	138
w003	Week 3	2019-01-14	2019-01-20	MT	Malta	108	36	711870	251592	4986	688
w002	Week 2	2019-01-07	2019-01-13	MT	Malta	74	31	638767	225408	5287	803
w001	Week 1	2019-01-01	2019-01-06	MT	Malta	53	24	486706	168461	4164	682
