advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Podemos	Unidas Podemos	269212336568846	Facebook	w017	Week 17	297	1	73342001	32463588	452411	120483
Partido Popular	Partido Popular	72249031214	Facebook	w017	Week 17	2125	1	54634377	20956499	416619	56463
European Parliament		178362315106	Facebook	w017	Week 17	106	1	29502841	13539000	153655	40740
Ciudadanos	Ciudadanos	74078667754	Facebook	w017	Week 17	3023	1	29460977	8329000	402577	26000
PSOE	PSOE	189318235003	Facebook	w017	Week 17	334	1	20285551	8068755	65859	11193
Kialo		729627343834501	Facebook	w017	Week 17	127	1	10904875	4405000	48624	11135
sp.a	sp.a	57253967150	Facebook	w017	Week 17	124	1	10607904	4481605	47455	11618
FDP	FDP	21289227249	Facebook	w017	Week 17	695	1	9398930	2809274	74540	3900
Romania #nuepsd	Future Innovation	293215748279337	Facebook	w017	Week 17	25	1	6659975	3065000	4953	2437
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	w017	Week 17	30	1	6353552	2759165	16139	3826
PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	w017	Week 17	81	1	5321376	2250333	36915	9083
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	w017	Week 17	46	1	4975293	2042730	17646	4278
Partidul Naţional Liberal		181375448581167	Facebook	w017	Week 17	17	1	4701178	2002142	2475	1061
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	w017	Week 17	38	1	4668019	2141274	16938	3772
Un país moderno	Unidas Podemos	577723459314066	Facebook	w017	Week 17	35	1	4462341	2040149	29006	6055
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	w017	Week 17	55	1	4384407	1822201	10569	2248
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	w017	Week 17	26	1	4069770	1699471	40672	9673
The Brexit Party	The Brexit Party	230416667843105	Facebook	w017	Week 17	24	1	3940081	1903437	39814	10461
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w017	Week 17	12	1	3879220	1821615	25035	5719
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	w017	Week 17	31	1	3723815	1647333	6377	1385
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	w017	Week 17	64	1	3673436	1332499	9811	875
Compromís	Compromís	194053080624605	Facebook	w017	Week 17	27	1	3586313	1595095	14903	3600
En Comú Podem	En Comú Podem	463627663844039	Facebook	w017	Week 17	38	1	3440080	1433478	11202	3352
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	w017	Week 17	57	1	3405228	1400819	15694	2701
Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	w017	Week 17	13	1	3390738	1571500	22125	4342
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	w017	Week 17	134	1	3385689	1460938	13564	2853
SPÖ	SPÖ	77393060080	Facebook	w017	Week 17	293	1	3013148	1009223	20770	2532
România în primul rând	Future Innovation	770704223323599	Facebook	w017	Week 17	15	1	2982946	1296893	2544	673
Change UK - The Independent Group	The Independent Group (TIG) Ltd, company number 11770529, a registered company in England and Wales.	395151614382309	Facebook	w017	Week 17	35	1	2976965	1217000	44974	13076
Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	w017	Week 17	4	1	2874996	1437500	104371	20875
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	w017	Week 17	12	1	2865230	1345095	7386	3315
Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	w017	Week 17	42	1	2724681	1226005	14966	5862
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	w017	Week 17	35	1	2604947	1099487	9056	2381
Greenpeace France		39435457457	Facebook	w017	Week 17	5	1	2500995	1100000	7595	2100
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	w017	Week 17	45	1	2493964	1039535	4944	1101
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	w017	Week 17	192	1	2463519	650721	30015	2854
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	w017	Week 17	34	1	2396413	981059	4944	1611
Harald Vilimsky	FPÖ	547597092025909	Facebook	w017	Week 17	53	1	2268883	953557	20464	5076
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	w017	Week 17	40	1	2222396	1004201	3106	590
Coalicion Canaria	Coalicion Canaria	1499578240271320	Facebook	w017	Week 17	45	1	2169845	767000	5136	494
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	w017	Week 17	178	1	2151371	777279	25528	6366
Mónica Oltra	Compromís	81107269227	Facebook	w017	Week 17	15	1	2116999	954794	9158	2040
ČSSD	ČSSD	111041662264882	Facebook	w017	Week 17	300	1	2030701	447000	10352	2522
Avaaz	Avaaz	8340223883	Facebook	w017	Week 17	3	1	2000997	1000000	10097	2000
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	w017	Week 17	413	1	1826738	623007	7670	1239
MSZP	MSZP	115388925185513	Facebook	w017	Week 17	21	1	1803092	830888	2779	881
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	w017	Week 17	20	1	1796199	850606	6208	1635
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	w017	Week 17	129	1	1778436	516145	8822	1067
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	w017	Week 17	27	1	1750973	640000	10740	2033
Litere.net	litere.net	1504323906337545	Facebook	w017	Week 17	9	1	1718767	786879	588	231
The Labour Party	The Labour Party	25749647410	Facebook	w017	Week 17	15	1	1689986	686000	15259	3355
Junts per Catalunya	Junts per Catalunya	386166375144833	Facebook	w017	Week 17	27	1	1684455	654795	6334	1054
kontrast.at	kontrast.at	1079650008770485	Facebook	w017	Week 17	36	1	1681616	743914	6442	2261
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	w017	Week 17	12	1	1617797	654685	1081	219
McCabe 4 Mayor	John Mccabe	564061654107377	Facebook	w017	Week 17	550	1	1525421	294393	64758	488
Ioannis Vardakastanis		195643347979465	Facebook	w017	Week 17	71	1	1505630	634069	5237	500
Izquierda Unida	Izquierda Unida	74858103866	Facebook	w017	Week 17	13	1	1438321	617666	6388	2133
Irene Montero	Unidas Podemos	699285113542248	Facebook	w017	Week 17	4	1	1418747	658750	12122	3916
Best For Britain	Best for Britain	1863944713844924	Facebook	w017	Week 17	26	1	1362073	510816	15374	3108
Alberto Garzón Espinosa	Izquierda Unida	180609005365213	Facebook	w017	Week 17	12	1	1359987	584999	11088	2800
Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	w017	Week 17	115	1	1329885	462000	13385	500
Groen	Groen	84920854319	Facebook	w017	Week 17	74	1	1293560	444829	6768	947
Greenpeace Deutschland		22541752487	Facebook	w017	Week 17	116	1	1265107	486115	10420	1797
Peter Mertens	PVDA	236485149843971	Facebook	w017	Week 17	471	1	1228253	310501	20156	1453
HC Strache	FPÖ	74865038590	Facebook	w017	Week 17	31	1	1213610	466309	11484	2775
Guardian Weekly		64525551258	Facebook	w017	Week 17	21	1	1213364	512169	6172	1471
EAJ-PNV	EAJ-PNV	26830001203	Facebook	w017	Week 17	28	1	1208831	517371	6168	900
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	w017	Week 17	12	1	1181709	528542	2431	576
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	w017	Week 17	1386	1	1179335	32507	106379	0
38 Degrees	38 Degrees	200006375787	Facebook	w017	Week 17	51	1	1176696	464486	8386	1184
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	w017	Week 17	445	1	1161480	295163	14569	291
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	w017	Week 17	783	1	1153768	231300	30301	521
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	w017	Week 17	79	1	1135485	394982	1814	530
School Cuts	National Education Union	871798409656672	Facebook	w017	Week 17	57	1	1119528	312666	7989	479
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	w017	Week 17	28	1	1090125	335711	2953	151
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	w017	Week 17	41	1	1064959	224000	5256	1687
Claudia Gamon	NEOS	447992848717452	Facebook	w017	Week 17	20	1	1054980	403000	8780	2800
Europäisches Parlament Österreich		124468054313069	Facebook	w017	Week 17	35	1	1053760	445823	4452	1354
RMDSZ	RMDSZ	102601499822802	Facebook	w017	Week 17	43	1	1048370	283143	1119	140
Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	w017	Week 17	11	1	1013463	390194	1798	580
Greenpeace España	Greenpeace España	133044800622	Facebook	w017	Week 17	11	1	1004989	441000	3489	600
Sme rodina		600235073447674	Facebook	w017	Week 17	2	1	999997	399999	1498	600
Boris Kollar	Sme rodina	1464024763918594	Facebook	w017	Week 17	2	1	999997	399999	1998	1000
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	w017	Week 17	40	1	983425	360466	4484	1316
FORO Asturias	FORO Asturias	157783340940291	Facebook	w017	Week 17	10	1	975706	409571	2977	542
Ana Oramas	Coalicion Canaria	1616759808576461	Facebook	w017	Week 17	44	1	911419	296952	4229	242
Die Grünen	Die Grünen	21759893033	Facebook	w017	Week 17	27	1	908185	272093	7393	1250
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	w017	Week 17	2	1	899998	450000	1123	450
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	w017	Week 17	43	1	888957	286000	5457	300
Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	w017	Week 17	33	1	883888	287583	3479	162
European GNSS Agency		128217567344601	Facebook	w017	Week 17	2	1	874998	400000	3248	875
Partito Democratico		77034286895	Facebook	w017	Week 17	12	1	849995	366071	1477	253
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	w017	Week 17	351	1	842649	167000	41249	1400
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	w017	Week 17	32	1	840568	291000	4288	300
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	w017	Week 17	21	1	837481	296500	2231	100
Oxfam Novib		115289021825188	Facebook	w017	Week 17	25	1	836096	323368	9446	2454
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	w017	Week 17	18	1	801621	255126	1811	395
Socialdemokratiet		41459763029	Facebook	w017	Week 17	65	1	796404	270326	12447	2922
Nikos Papandreou		2245032148843299	Facebook	w017	Week 17	22	1	784478	222000	2528	100
John Crombez	sp.a	264131406977201	Facebook	w017	Week 17	17	1	781772	248857	6462	1511
Make.org	Make.org	122037308191612	Facebook	w017	Week 17	11	1	777604	342267	4838	1071
Conservatives	The Conservative Party	8807334278	Facebook	w017	Week 17	91	1	768165	248700	8522	1514
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	w017	Week 17	129	1	756989	163038	9104	756
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	w017	Week 17	42	1	754641	308901	1871	98
Referendum Commission		580832208630212	Facebook	w017	Week 17	2	1	753845	361538	3152	630
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	w017	Week 17	434	1	746393	187632	8482	2141
FDP Bremen	FDP Bremen	152934608113175	Facebook	w017	Week 17	109	1	743345	196202	9586	300
César Sánchez Pérez	Andres De España Serrano	296979917059627	Facebook	w017	Week 17	8	1	730548	348777	2348	419
Open Vld	Open Vld	53668151866	Facebook	w017	Week 17	95	1	721808	219955	7367	1161
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	w017	Week 17	8	1	687930	287500	2922	772
EU-kommissionen i Sverige		155824787799	Facebook	w017	Week 17	16	1	686830	309385	3581	805
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	w017	Week 17	4	1	669663	333333	844	155
Héctor Illueca Ballester	Unidas Podemos	267663367485459	Facebook	w017	Week 17	18	1	666264	148755	3670	578
Petizioni.it		1410474395723679	Facebook	w017	Week 17	7	1	660993	315000	3293	1200
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	w017	Week 17	9	1	649991	220000	891	0
MÉS per Mallorca	MÉS per Mallorca	183718528322316	Facebook	w017	Week 17	18	1	649075	198545	3175	400
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	w017	Week 17	1113	1	642384	88819	32195	0
Agence Isolation Pour Tous		568528630290119	Facebook	w017	Week 17	22	1	636661	260271	7852	1764
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	w017	Week 17	12	1	629988	222000	3688	900
Amnesty International UK		7624294394	Facebook	w017	Week 17	16	1	626984	290000	5883	1967
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	w017	Week 17	14	1	626655	220333	1116	340
Sacramento Kings		96222644025	Facebook	w017	Week 17	1	1	624999	312500	277	55
SPD	SPD	47930567748	Facebook	w017	Week 17	447	1	617411	58428	44468	82
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	w017	Week 17	3	1	616664	258333	227	45
Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	w017	Week 17	13	1	616107	253685	2985	745
Mon Homéo Mon Choix		1643185362449069	Facebook	w017	Week 17	28	1	605885	237046	5542	1175
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	w017	Week 17	36	1	602520	197523	2104	62
ALDE Sector 6		428872677299268	Facebook	w017	Week 17	25	1	600975	138000	1024	126
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	w017	Week 17	3	1	599999	300000	2832	566
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	w017	Week 17	6	1	599994	225000	1469	514
Cambio-Aldaketa	Cambio  Aldaketa	190214741315793	Facebook	w017	Week 17	15	1	599985	219000	4085	1200
