country_code_filter	country_name_filter	spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CZ	Czechia	0_1k	0 - 1k	6414	970	69657372	22673413	240864	56104
CZ	Czechia	1k_5k	1k - 5k	137	53	10624562	5072082	64551	18395
CZ	Czechia	5k_10k	5k - 10k	12	8	294185	146868	2535	1189
CZ	Czechia	10k_50k	10k - 50k	1	1	8075	4037	359	71
