advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w014	Week 14	493	1	16308892	7147326	75510	15467
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	w014	Week 14	168	1	14855441	1474041	3403	0
European Greens		141366725876424	Facebook	w014	Week 14	47	1	9500917	4073035	62858	16377
European Commission		107898832590939	Facebook	w014	Week 14	62	1	6773975	3144181	26838	7049
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w014	Week 14	38	1	4661933	2128708	9425	2620
Sosialidemokraatit SDP		108945982480217	Facebook	w014	Week 14	72	1	3856130	1642074	23297	6078
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	w014	Week 14	243	1	3352788	972598	38224	3589
People's Vote UK	People's Vote	748608695327755	Facebook	w014	Week 14	274	1	2774826	663893	73008	15238
The Labour Party	The Labour Party	25749647410	Facebook	w014	Week 14	32	1	2384686	1053782	20114	4334
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w014	Week 14	61	1	2236711	205375	1573	0
Humble Household		1746853745395190	Facebook	w014	Week 14	15	1	2174985	911000	25403	7033
38 Degrees	38 Degrees	200006375787	Facebook	w014	Week 14	75	1	1938060	757214	11686	2103
TOP 09		AR268709096956362752	Google	w014	Week 14	152	1	1931031	61111	6905	0
Kialo		729627343834501	Facebook	w014	Week 14	10	1	1909990	745000	16191	3471
Primes écologique		152399322377561	Facebook	w014	Week 14	6	1	1904994	801000	25094	5000
Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	w014	Week 14	30	1	1666180	724523	1824	211
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	w014	Week 14	30	1	1578178	692751	12708	2570
Bouzidi Mourad		1840451052913778	Facebook	w014	Week 14	3	1	1519997	704000	1037	200
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	w014	Week 14	7	1	1485794	640000	3474	975
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	w014	Week 14	12	1	1457325	629566	12358	2583
Save the Refugees		1931458237163388	Facebook	w014	Week 14	63	1	1445754	420722	9131	1419
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w014	Week 14	4	1	1299996	620000	6996	1700
Gazeta Wyborcza		63563473556	Facebook	w014	Week 14	57	1	1153943	391000	2475	418
Right To Vote	Right to Vote	408236463256774	Facebook	w014	Week 14	125	1	1153149	400636	17183	1430
Ciudadanos	Ciudadanos	74078667754	Facebook	w014	Week 14	3	1	1149997	560000	5597	1100
