week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-16	48815	4905	633320364	222135774	4403231	557897
w019	Week 19	2019-05-06	2019-05-12	64432	5814	1029679778	330372423	6012348	854020
w018	Week 18	2019-04-29	2019-05-05	49746	6089	683267432	231348940	4503433	643793
w017	Week 17	2019-04-22	2019-04-28	41863	5606	665558805	234174075	4415916	655990
w016	Week 16	2019-04-15	2019-04-21	31897	6054	461630867	157664274	2929485	367829
w015	Week 15	2019-04-08	2019-04-14	27431	7869	411547493	144209311	2681200	373887
w014	Week 14	2019-04-01	2019-04-07	20938	7167	306199043	103144108	1968384	268728
w013	Week 13	2019-03-25	2019-03-31	18834	6157	281589878	99745497	1917837	272778
w012	Week 12	2019-03-18	2019-03-24	18393	5837	261032194	92714135	1973170	262614
w011	Week 11	2019-03-11	2019-03-17	13624	4802	201998334	74002967	1451257	201205
w010	Week 10	2019-03-04	2019-03-10	10452	3855	166333102	61471572	1114044	158245
w009	Week 9	2019-02-25	2019-03-03	6620	2086	89911203	31970298	676730	101935
w008	Week 8	2019-02-18	2019-02-24	5635	1419	74406458	26835068	661402	93850
w007	Week 7	2019-02-11	2019-02-17	4270	1244	51803254	18312996	403784	56884
w006	Week 6	2019-02-04	2019-02-10	3754	1108	55203738	20797019	424806	59128
w005	Week 5	2019-01-28	2019-02-03	4039	980	63548777	22645954	504118	80662
w004	Week 4	2019-01-21	2019-01-27	3941	915	52917242	19334321	451145	65126
w003	Week 3	2019-01-14	2019-01-20	3460	848	49186853	17445326	426499	66394
w002	Week 2	2019-01-07	2019-01-13	2592	729	42339305	14312642	317574	50958
w001	Week 1	2019-01-01	2019-01-06	3117	563	67129026	23095289	612718	99555
