audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	SE	Sweden	9281	1779	19993110	6806609	163755	40196
f35_44	female (35-44)	SE	Sweden	9300	1757	17624277	5860340	148602	36426
m25_34	male (25-34)	SE	Sweden	8653	1730	16329035	5649265	130928	32119
f45_54	female (45-54)	SE	Sweden	8898	1714	14958944	4935806	129497	31691
m18_24	male (18-24)	SE	Sweden	7439	1573	14105550	5014295	112762	28285
f65_	female (65+)	SE	Sweden	7026	1474	13380530	4458338	129820	33242
m35_44	male (35-44)	SE	Sweden	8709	1705	12404184	4146892	97905	23725
m45_54	male (45-54)	SE	Sweden	8265	1658	11884697	3944802	102106	24852
f18_24	female (18-24)	SE	Sweden	7779	1614	11747262	4122098	87168	21815
f55_64	female (55-64)	SE	Sweden	7914	1614	10996084	3520124	100145	24985
m65_	male (65+)	SE	Sweden	6736	1439	9776857	3255499	100784	25407
m55_64	male (55-64)	SE	Sweden	7451	1571	9045263	2938118	86155	21264
f13_17	female (13-17)	SE	Sweden	1189	347	1473674	508731	8222	1979
m13_17	male (13-17)	SE	Sweden	1184	323	934525	328478	5607	1249
u35_44	unknown (35-44)	SE	Sweden	7167	1508	633957	212074	4945	1173
u25_34	unknown (25-34)	SE	Sweden	6842	1481	515928	175842	3942	945
u45_54	unknown (45-54)	SE	Sweden	6703	1449	426290	141202	3569	853
u55_64	unknown (55-64)	SE	Sweden	5662	1321	248511	79829	2291	559
u65_	unknown (65+)	SE	Sweden	5308	1231	232212	75136	2276	544
u18_24	unknown (18-24)	SE	Sweden	4945	1161	118914	40302	923	224
u13_17	unknown (13-17)	SE	Sweden	695	262	11099	3864	67	15
