country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PL	Poland	Patryk Jaki		199877710116314	Facebook	255	1	12896864	5042181	58140	13421
PL	Poland	European Parliament		178362315106	Facebook	70	1	12698732	5659630	23190	5684
PL	Poland	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	451	1	10130113	3967283	35944	7023
PL	Poland	Gazeta Wyborcza		63563473556	Facebook	380	1	8098802	2691486	18658	2763
PL	Poland	Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	19	1	6735475	3207747	9481	2022
PL	Poland	Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	70	1	4454930	1784000	8367	1858
PL	Poland	Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	14	1	4406544	2168342	5268	1091
PL	Poland	Kialo		729627343834501	Facebook	372	1	3527981	1441296	22392	5256
PL	Poland	Greenpeace Polska		32104614789	Facebook	61	1	3274202	1344550	7028	1707
PL	Poland	Amnesty International Polska		57544755889	Facebook	67	1	2772925	955308	9701	2789
PL	Poland	Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	56	1	2772110	945954	6308	1394
PL	Poland	Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	35	1	2135183	671687	5270	1139
PL	Poland	PolEXIT		2001582129931761	Facebook	17	1	1947978	778926	4084	882
PL	Poland	Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	29	1	1945968	696999	4180	837
PL	Poland	Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	55	1	1826834	711158	9723	1928
PL	Poland	Paweł Bejda	Bejda Paweł 	587380481330698	Facebook	69	1	1787194	472552	3984	561
PL	Poland	European Commission		107898832590939	Facebook	21	1	1733852	835460	7259	1405
PL	Poland	Polska Fundacja im. Roberta Schumana		150617698324166	Facebook	36	1	1575815	395930	3527	674
PL	Poland	Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	34	1	1434965	454999	2411	535
PL	Poland	Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	44	1	1417753	357959	5083	1093
PL	Poland	Akcja Demokracja		277892342334350	Facebook	72	1	1304271	353780	2588	232
PL	Poland	Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	22	1	1290977	482999	4880	1000
PL	Poland	Parlament Europejski - Biuro w Polsce		405326618416	Facebook	13	1	1278465	538343	2383	369
PL	Poland	Łukasz Kohut	KW Wiosna Roberta Biedronia 	1465965073732774	Facebook	8	1	1220992	550000	1696	325
PL	Poland	European Greens	European Greens	141366725876424	Facebook	10	1	1169926	534863	3814	1079
PL	Poland	Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	11	1	1159989	455000	2370	604
PL	Poland	Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości 	612725748801524	Facebook	36	1	1151538	461896	2128	581
PL	Poland	Maciej Gdula	KW Wiosna Roberta Biedronia	831495030528894	Facebook	3	1	1149997	560000	1395	279
PL	Poland	Sylwia Spurek	KW Wiosna Roberta Biedronia 	1967695263556184	Facebook	4	1	1149996	530000	1511	302
PL	Poland	Wydawnictwo AGORA		336438736394843	Facebook	14	1	1134028	525558	415	23
PL	Poland	Satronik - Pompy Ciepła		276627982527247	Facebook	6	1	1106906	453749	660	132
PL	Poland	Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	32	1	1010968	256000	3075	448
PL	Poland	You Vote EU Polska		1923072537771358	Facebook	3	1	1003825	400531	1095	199
PL	Poland	Partia Zieloni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	48391402694	Facebook	22	1	964950	195791	2365	464
PL	Poland	ADAR		175390195814995	Facebook	1	1	954696	477348	2220	1110
PL	Poland	Dariusz Rosati	CommSense	238903929634988	Facebook	37	1	915931	218986	2340	372
PL	Poland	Kospel S.A.		105979422814402	Facebook	3	1	899254	399669	3485	697
PL	Poland	Nomada Stowarzyszenie		114318528622863	Facebook	10	1	859814	381481	415	46
PL	Poland	Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	16	1	840262	350855	1250	348
PL	Poland	Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	45	1	801222	213792	1965	232
PL	Poland	Bartosz Arłukowicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	152299864806918	Facebook	99	1	800873	254990	2768	186
PL	Poland	Arte		1319236851430224	Facebook	7	1	769095	316631	1070	99
PL	Poland	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	45	1	763954	320049	3287	715
PL	Poland	Na zdrowie		1120686571468330	Facebook	5	1	758788	314503	695	209
