advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Демократична България	Демократична България	995342840629890	Facebook	55_64	55-64	BG	Bulgaria	38	1	745123	285973	1469	213
Приоритети	БЗНС	1163987410423594	Facebook	55_64	55-64	BG	Bulgaria	78	1	655393	210247	2263	46
Път на младите	Път на младите	2051476654950711	Facebook	55_64	55-64	BG	Bulgaria	18	1	222379	79854	685	75
Бареков и Байрактаров без цензура - ТВ предаване		405986069871245	Facebook	55_64	55-64	BG	Bulgaria	10	1	218602	75839	446	108
Лиляна Павлова	Лиляна Павлова	119576588238010	Facebook	55_64	55-64	BG	Bulgaria	28	1	213390	51309	712	0
Стефан Тафров	Стефан Тафров	233810563693016	Facebook	55_64	55-64	BG	Bulgaria	44	1	197928	58336	759	47
European Parliament		178362315106	Facebook	55_64	55-64	BG	Bulgaria	30	1	191058	90439	483	111
България на Труда и Разума - БТР		709384432421964	Facebook	55_64	55-64	BG	Bulgaria	8	1	176105	54398	339	28
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	55_64	55-64	BG	Bulgaria	51	1	162814	74862	351	103
informo.bg	informo.bg	262524054082832	Facebook	55_64	55-64	BG	Bulgaria	8	1	153520	70325	378	44
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	55_64	55-64	BG	Bulgaria	54	1	138097	57491	565	135
За Петър Чобанов	Chobanov Petar	762986410409232	Facebook	55_64	55-64	BG	Bulgaria	29	1	114703	26432	843	0
European Greens		141366725876424	Facebook	55_64	55-64	BG	Bulgaria	10	1	106639	46348	336	103
Valeri Simeonov		1967166133516609	Facebook	55_64	55-64	BG	Bulgaria	24	1	101571	27232	247	0
Европейски парламент в България		163350039852	Facebook	55_64	55-64	BG	Bulgaria	1	1	94764	37905	947	189
Кристиян Шкварек	Oblakov Nikolay	651747871952382	Facebook	55_64	55-64	BG	Bulgaria	16	1	93464	23351	318	0
Радан Кънев	Радан Кънев	1461853244069926	Facebook	55_64	55-64	BG	Bulgaria	16	1	83418	18009	350	0
Евро Ферт АД		271746059949890	Facebook	55_64	55-64	BG	Bulgaria	1	1	83372	41686	185	37
Volen Siderov		48268614826	Facebook	55_64	55-64	BG	Bulgaria	20	1	81502	19028	331	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	55_64	55-64	BG	Bulgaria	19	1	75221	23469	206	18
Партия на ЗЕЛЕНИТЕ	Mitrakiev Boyan	1438204226503681	Facebook	55_64	55-64	BG	Bulgaria	13	1	73678	14981	238	0
Движение ВОЛЯ		289082018098560	Facebook	55_64	55-64	BG	Bulgaria	1	1	69149	34575	34	6
Ваня Григорова - независим кандидат за евродепутат	Vanya Grigorova 	344617396401957	Facebook	55_64	55-64	BG	Bulgaria	8	1	65047	14052	180	0
Ангел Джамбазки	Войчин Мирчо	139581756144530	Facebook	55_64	55-64	BG	Bulgaria	9	1	63792	19556	222	0
Консерваторъ	Oblakov Nikolay	1840027882991452	Facebook	55_64	55-64	BG	Bulgaria	4	1	40481	8096	89	0
