platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	CZ	Czechia	Jan Jarolím		388845554569781	Facebook	1	1	49999	10000	194	38
f	Facebook	CZ	Czechia	Pravý bleší trh z náměstí Míru		242189156000	Facebook	1	1	49999	10000	38	19
f	Facebook	CZ	Czechia	Elektrárna Chvaletice - 7EC		992555574111774	Facebook	1	1	49999	10000	194	38
f	Facebook	CZ	Czechia	Epochaplus		877641865619216	Facebook	1	1	49999	10000	38	19
f	Facebook	CZ	Czechia	Venuše ve Švehlovce		227570994106321	Facebook	1	1	49999	10000	38	19
f	Facebook	CZ	Czechia	Půjčky MiniKredit.cz		590245071489807	Facebook	1	1	49999	10000	194	38
f	Facebook	CZ	Czechia	U.S. Embassy Prague		45298246708	Facebook	1	1	49999	10000	88	0
f	Facebook	CZ	Czechia	Nadace Vodafone Česká republika		49020448604	Facebook	1	1	49999	10000	38	19
f	Facebook	CZ	Czechia	Vědci pro Českou republiku		366846114139594	Facebook	1	1	49998	9999	194	38
f	Facebook	CZ	Czechia	Česká pirátská strana - Středočeský kraj		130631260290858	Facebook	1	1	49998	9999	194	38
f	Facebook	CZ	Czechia	Sdružení místních samospráv České republiky		248783538569454	Facebook	1	1	49998	10000	38	19
f	Facebook	CZ	Czechia	Matěj Trávníček		1674881296142473	Facebook	5	1	49994	24999	194	97
f	Facebook	CZ	Czechia	Starke-Jobs Marienberg		329726487371550	Facebook	1	1	49987	9997	498	99
f	Facebook	CZ	Czechia	Radim Sršeň		201535993705342	Facebook	1	1	49962	9992	194	38
f	Facebook	CZ	Czechia	Tomáš Prouza	Moje Evropa	1060889564019324	Facebook	15	1	47985	11000	150	23
f	Facebook	CZ	Czechia	Mirek Topolánek		270921370098092	Facebook	8	1	44992	12000	155	31
f	Facebook	CZ	Czechia	Daniela	Vasatkova Daniela	252673128998993	Facebook	7	1	44955	14991	155	42
f	Facebook	CZ	Czechia	Voxpot		799083753454179	Facebook	2	1	44824	8965	34	17
f	Facebook	CZ	Czechia	ChernobylAgency		1655637864514674	Facebook	2	1	41912	8382	82	0
f	Facebook	CZ	Czechia	Pela Case		119283008140727	Facebook	14	1	41699	15148	80	11
f	Facebook	CZ	Czechia	Liberální institut	Liberální institut	120343698070515	Facebook	8	1	40992	11000	159	42
f	Facebook	CZ	Czechia	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	15	1	40376	16001	71	10
f	Facebook	CZ	Czechia	Arte		656089814494677	Facebook	6	1	38907	16343	116	13
f	Facebook	CZ	Czechia	Equinns		717514545314045	Facebook	1	1	38543	7708	149	29
f	Facebook	CZ	Czechia	Mikuláš Peksa		356448681873897	Facebook	9	1	37990	9999	322	73
f	Facebook	CZ	Czechia	IGO bottle		588626198197868	Facebook	2	1	36695	9092	23	4
f	Facebook	CZ	Czechia	Markets.com		478063878928667	Facebook	8	1	33805	12402	205	54
f	Facebook	CZ	Czechia	Create.Refresh	Create.Refresh	1736881926615141	Facebook	9	1	31830	11971	128	9
f	Facebook	CZ	Czechia	Veronika Vrecionová		273367223021327	Facebook	3	1	29996	14999	297	0
