audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	131259	20422	517780761	193403597	3566193	525110
m18_24	male (18-24)	117655	18849	426537694	160933967	2700450	378451
f25_34	female (25-34)	133707	20770	410048127	152743285	3010921	457592
f18_24	female (18-24)	118465	19101	399914639	151472101	2566255	368445
m35_44	male (35-44)	133901	20262	386441009	140980459	2874250	416659
f35_44	female (35-44)	136722	20665	340442551	124314925	2720882	406292
m45_54	male (45-54)	130479	19720	325869146	115241414	2644267	367637
f45_54	female (45-54)	134620	20121	309837518	110077575	2640950	372365
f55_64	female (55-64)	128361	19071	268421700	93253100	2368289	309684
m55_64	male (55-64)	123991	18768	231242017	79293431	2007522	256188
f65_	female (65+)	116242	17389	196858959	67434835	1842966	243913
m65_	male (65+)	113232	17136	163403575	55571317	1481674	191738
f13_17	female (13-17)	15643	4200	43275940	16091882	167032	14109
m13_17	male (13-17)	15961	4179	37735515	14289972	155307	13190
u35_44	unknown (35-44)	92483	16466	7839347	2797136	69650	10635
u25_34	unknown (25-34)	80915	15420	5520681	1994057	45881	6944
u45_54	unknown (45-54)	86052	15419	5264133	1815139	55834	8273
u55_64	unknown (55-64)	73023	13335	3410714	1135523	40233	5671
u65_	unknown (65+)	67570	12455	3257346	1084442	38369	5384
u18_24	unknown (18-24)	55491	11623	1909530	676978	17181	2303
u13_17	unknown (13-17)	6298	2291	165461	56848	1060	74
