advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	m65_	male (65+)	3890	1	10619155	3138169	118862	16429
We are the 52%	We are the 52%	466744973727718	Facebook	m65_	male (65+)	278	1	4373462	1571772	12861	1660
People's Vote UK	People's Vote	748608695327755	Facebook	m65_	male (65+)	3134	1	3314669	1066492	56941	9367
Ciudadanos	Ciudadanos	74078667754	Facebook	m65_	male (65+)	3757	1	3096975	958412	29778	2487
Conservatives	The Conservative Party	8807334278	Facebook	m65_	male (65+)	1499	1	2627174	919892	40174	4783
38 Degrees	38 Degrees	200006375787	Facebook	m65_	male (65+)	608	1	2320187	828250	16011	2293
Podemos	Unidas Podemos	269212336568846	Facebook	m65_	male (65+)	184	1	2274059	1030971	14729	3914
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m65_	male (65+)	1822	1	2149067	678157	42651	4059
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m65_	male (65+)	272	1	2139449	876660	9675	1871
European Parliament		178362315106	Facebook	m65_	male (65+)	774	1	1919242	815518	12183	2597
The Labour Party	The Labour Party	25749647410	Facebook	m65_	male (65+)	601	1	1854198	720873	17325	3863
Best For Britain	Best for Britain	1863944713844924	Facebook	m65_	male (65+)	721	1	1748091	723573	26681	5939
Vattenfall Sverige		608975645850217	Facebook	m65_	male (65+)	28	1	1687591	776450	21747	6052
SPD	SPD	47930567748	Facebook	m65_	male (65+)	2978	1	1350234	324316	38028	1530
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m65_	male (65+)	71	1	1323410	582337	3038	857
The Brexit Party	The Brexit Party	230416667843105	Facebook	m65_	male (65+)	57	1	1311566	602224	17002	4424
Partito Democratico		77034286895	Facebook	m65_	male (65+)	111	1	1276212	563290	6122	1298
Sosialidemokraatit SDP		108945982480217	Facebook	m65_	male (65+)	195	1	1149584	449706	7310	1493
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m65_	male (65+)	39	1	1009542	471102	2415	1083
Partido Popular	Partido Popular	72249031214	Facebook	m65_	male (65+)	505	1	871722	366984	4647	892
Partidul Naţional Liberal		181375448581167	Facebook	m65_	male (65+)	90	1	782728	323673	1462	388
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m65_	male (65+)	88	1	741089	311624	6627	1585
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m65_	male (65+)	25	1	737757	340979	2062	521
Right To Vote	Right to Vote	408236463256774	Facebook	m65_	male (65+)	357	1	724952	177761	7070	819
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m65_	male (65+)	36	1	723696	335073	1579	474
