country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	w020	Week 20	192	64	757991	218301	2573	107
BG	Bulgaria	w019	Week 19	406	95	5555784	1762118	20332	1005
BG	Bulgaria	w018	Week 18	427	120	4035102	1520347	12348	1074
BG	Bulgaria	w017	Week 17	371	113	2574961	1046701	7144	1645
BG	Bulgaria	w016	Week 16	421	145	1828197	729370	10466	1531
BG	Bulgaria	w015	Week 15	574	207	2377983	941281	8682	1545
BG	Bulgaria	w014	Week 14	509	216	2725163	1105355	7071	815
BG	Bulgaria	w013	Week 13	400	178	1784441	767202	4399	777
BG	Bulgaria	w012	Week 12	346	160	1152208	419694	7373	1013
BG	Bulgaria	w011	Week 11	201	90	657774	251261	2179	502
