country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	w019	Week 19	5003	260	43281772	13696125	469485	46420
AT	Austria	w018	Week 18	4477	291	35881693	12768448	337872	54614
AT	Austria	w017	Week 17	3257	294	21763600	7722916	200477	31246
AT	Austria	w016	Week 16	2256	341	11114451	3810758	87406	12265
AT	Austria	w015	Week 15	1934	513	9205928	3143694	73624	10705
AT	Austria	w014	Week 14	1513	515	6547631	2184071	57676	7682
AT	Austria	w013	Week 13	1213	407	5855314	2055011	50582	7212
AT	Austria	w012	Week 12	1031	347	5010996	1717551	45068	5325
AT	Austria	w011	Week 11	724	254	5045632	1904433	43460	6554
AT	Austria	w010	Week 10	499	157	1742690	627518	15889	1956
