gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	186941	24096	2456816750	894853602	18416845	2671976
m	male	180487	23539	2654697259	966994572	18981933	2721722
u	unknown	143367	21663	32562881	11414824	309403	46114
