gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m	male	EE	Estonia	Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	18	1	853594	304362	2985	506
m	male	EE	Estonia	Igor Gräzin	Igor Gräzin	339367456669277	Facebook	29	1	799553	319433	2868	382
m	male	EE	Estonia	Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	91	1	724625	180863	4805	54
m	male	EE	Estonia	Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	8	1	714746	331896	1347	363
m	male	EE	Estonia	European Parliament		178362315106	Facebook	23	1	698727	290820	7178	1774
m	male	EE	Estonia	Isamaa erakond	Isamaa erakond	321163977576	Facebook	10	1	593730	251585	2353	715
m	male	EE	Estonia	Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	28	1	459324	161378	2503	252
m	male	EE	Estonia	Veriff		959442754113350	Facebook	3	1	398577	176115	679	136
m	male	EE	Estonia	Urmas Paet	Paet Urmas	223092011815453	Facebook	38	1	375054	82084	1709	26
m	male	EE	Estonia	Kialo		729627343834501	Facebook	355	1	310552	118430	2049	494
m	male	EE	Estonia	Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	40	1	261232	65230	3004	298
m	male	EE	Estonia	Jaak Madison	Madison Jaak	536519246456733	Facebook	11	1	184234	39566	1081	122
m	male	EE	Estonia	Triin Saag	Saag Triin	2012394932389774	Facebook	32	1	137622	41644	1708	0
m	male	EE	Estonia	European Greens	European Greens	141366725876424	Facebook	10	1	87415	30459	304	46
m	male	EE	Estonia	Keskerakond	Keskerakond	161252453921396	Facebook	10	1	84078	20469	408	0
m	male	EE	Estonia	Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	37	1	81649	17893	1644	72
m	male	EE	Estonia	Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	9	1	63682	13919	437	0
m	male	EE	Estonia	Riho Terras		2217643278496367	Facebook	3	1	55496	12892	393	59
m	male	EE	Estonia	Rimi Eesti		217485440760	Facebook	1	1	49301	24650	246	49
m	male	EE	Estonia	Yoko Alender		709212302463805	Facebook	25	1	43717	14207	869	0
m	male	EE	Estonia	MTÜ Eesti Tuumajaam		153182254702931	Facebook	1	1	42226	8445	83	0
m	male	EE	Estonia	Civil Liberties Union for Europe		1424938757739868	Facebook	1	1	37516	7503	74	0
m	male	EE	Estonia	Pepe Mardiste		1436271733110292	Facebook	1	1	37451	7490	65	0
m	male	EE	Estonia	Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	3	1	36026	8127	196	25
m	male	EE	Estonia	EMY		815299865514464	Facebook	2	1	34639	6928	121	0
