advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Patryk Jaki		199877710116314	Facebook	PL	Poland	255	1	12896864	5042181	58140	13421
European Parliament		178362315106	Facebook	PL	Poland	70	1	12709973	5662945	23207	5701
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	PL	Poland	494	1	12234213	4646976	45726	9651
Gazeta Wyborcza		63563473556	Facebook	PL	Poland	408	1	9152318	3005048	20255	3065
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	PL	Poland	25	1	7725737	3522505	12502	2766
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	PL	Poland	115	1	6288381	2728736	38706	8341
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	PL	Poland	75	1	4794925	1852000	9505	2114
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	PL	Poland	30	1	4511545	2204352	5730	1114
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	PL	Poland	73	1	4201823	1571329	10907	2417
Kialo		729627343834501	Facebook	PL	Poland	372	1	3527981	1441296	22392	5256
Greenpeace Polska		32104614789	Facebook	PL	Poland	68	1	3499147	1422537	7469	1776
European Greens		141366725876424	Facebook	PL	Poland	36	1	3137378	1462801	12853	2836
Amnesty International Polska		57544755889	Facebook	PL	Poland	68	1	2922805	1045240	10050	2998
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	PL	Poland	39	1	2300109	737673	5572	1255
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	PL	Poland	59	1	2169614	699902	8638	2046
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	PL	Poland	32	1	2051965	720999	4621	930
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	PL	Poland	85	1	2008679	523102	4523	675
PolEXIT		2001582129931761	Facebook	PL	Poland	17	1	1947978	778926	4084	882
Sylwia Spurek		1967695263556184	Facebook	PL	Poland	24	1	1901917	748986	3507	814
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	PL	Poland	43	1	1857956	664999	4549	1093
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	PL	Poland	20	1	1783723	759009	2730	415
European Commission		107898832590939	Facebook	PL	Poland	21	1	1733852	835460	7259	1405
Polska Fundacja im. Roberta Schumana	Polska Fundacja im. Roberta Schumana	150617698324166	Facebook	PL	Poland	58	1	1718785	423928	4034	674
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	PL	Poland	26	1	1506973	588999	5391	1232
Łukasz Kohut	KW Wiosna Roberta Biedronia 	1465965073732774	Facebook	PL	Poland	11	1	1435989	656000	2067	465
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	PL	Poland	32	1	1407968	518000	4483	884
Partia Zieloni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	48391402694	Facebook	PL	Poland	33	1	1349674	332703	4129	790
Akcja Demokracja		277892342334350	Facebook	PL	Poland	74	1	1315261	358776	2634	232
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości 	612725748801524	Facebook	PL	Poland	46	1	1272489	487891	2544	627
Dariusz Rosati	CommSense	238903929634988	Facebook	PL	Poland	41	1	1200927	272986	2898	488
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	PL	Poland	11	1	1159989	455000	2370	604
Maciej Gdula	KW Wiosna Roberta Biedronia	831495030528894	Facebook	PL	Poland	3	1	1149997	560000	1395	279
Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	PL	Poland	36	1	1145964	298000	3353	495
Wydawnictwo AGORA		336438736394843	Facebook	PL	Poland	14	1	1134028	525558	415	23
Satronik - Pompy Ciepła		276627982527247	Facebook	PL	Poland	6	1	1106906	453749	660	132
You Vote EU Polska		1923072537771358	Facebook	PL	Poland	3	1	1003825	400531	1095	199
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	PL	Poland	72	1	1002485	385550	4814	718
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	PL	Poland	16	1	978710	405409	1436	395
Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	PL	Poland	50	1	975049	254749	2452	325
ADAR		175390195814995	Facebook	PL	Poland	1	1	954696	477348	2220	1110
Bartosz Arłukowicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	152299864806918	Facebook	PL	Poland	110	1	912862	288990	3021	186
Kospel S.A.		105979422814402	Facebook	PL	Poland	3	1	899254	399669	3485	697
Kamila Gasiuk-Pihowicz	Kamila Gasiuk-Pihowicz	150412465290475	Facebook	PL	Poland	29	1	897971	284000	2319	604
Michał Boni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	693499534003775	Facebook	PL	Poland	45	1	893955	238000	2246	302
Nomada Stowarzyszenie		114318528622863	Facebook	PL	Poland	10	1	859814	381481	415	46
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	PL	Poland	55	1	793337	354669	2464	529
Arte		1319236851430224	Facebook	PL	Poland	7	1	769095	316631	1070	99
Na zdrowie		1120686571468330	Facebook	PL	Poland	5	1	758788	314503	695	209
Krzysztof Śmiszek	KW Wiosna Roberta Biedronia	954692934606047	Facebook	PL	Poland	7	1	754992	250999	1766	348
Krzysztof Brejza	KKW Koalicja Europejska PO PSL SLD .N Zieloni	120766181437537	Facebook	PL	Poland	10	1	709990	295000	1207	372
Jacek Protas	KKW Koalicja Europejska PO PSL SLD .N Zieloni 	130955346972893	Facebook	PL	Poland	36	1	706963	165000	1852	255
Beata Mazurek		564941230235866	Facebook	PL	Poland	13	1	683966	238992	2765	511
Janusz Lewandowski	KKW Koalicja Europejska PO PSL SLD N Zieloni	75571183641	Facebook	PL	Poland	18	1	641901	193980	1577	418
Kosma Złotowski		1477251852486946	Facebook	PL	Poland	38	1	633919	142991	1712	209
Tomasz Latos		308684629246305	Facebook	PL	Poland	15	1	601586	251872	2901	906
Parlament Europejski - Biuro we Wrocławiu	Parlament Europejski - Biuro we Wrocławiu	426735034064813	Facebook	PL	Poland	3	1	599281	299642	2555	580
Poseł Jakub Rutnicki	KKW Koalicja Europejska PO PSL SLD .N Zieloni	222141244609992	Facebook	PL	Poland	19	1	548981	148000	1484	325
Grzegorz Furgo	Grzegorz Furgo	1674901842722925	Facebook	PL	Poland	26	1	538956	118996	1645	325
Forum Dialogu - perspektywy ze środka Europy		1973524929591577	Facebook	PL	Poland	20	1	535546	181849	2378	99
Bolesław Piecha - poseł do Parlamentu Europejskiego	Agencja reklamowa NXT	704363502985858	Facebook	PL	Poland	58	1	528420	123863	1892	139
Michał Korolko - profil publiczny	KKW Koalicja Europejska PO PSL SLD .N Zieloni (Michał Korolko)	334123340547325	Facebook	PL	Poland	26	1	515233	120784	1434	209
Tomasz Frankowski	KWW Koalicja Europejska PO PSL SLD .N Zieloni	2273340699395517	Facebook	PL	Poland	25	1	513277	128840	1411	209
Paweł Kukiz		773389822728740	Facebook	PL	Poland	1	1	499428	199771	232	116
Era Nowych Kobiet by Joanna Przetakiewicz		286813672006320	Facebook	PL	Poland	1	1	499336	199735	1161	232
Przestrzeń from Facebook		2090946654523834	Facebook	PL	Poland	1	1	499199	199680	232	116
Front Europejski	Front Europejski	590514511295079	Facebook	PL	Poland	43	1	491576	117919	2104	279
Norbert Kaczmarczyk Poseł na Sejm RP		814991668621838	Facebook	PL	Poland	10	1	469326	129817	787	139
Jarosław Duda	KKW Koalicja Europejska PO PSL SLD .N ZIELONI	100666510056063	Facebook	PL	Poland	15	1	467937	92990	1206	279
Elżbieta Łukacijewska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	271399596270991	Facebook	PL	Poland	14	1	456897	192982	787	116
Bogusław Sonik	KWW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI	75775141409	Facebook	PL	Poland	83	1	439906	88997	2562	162
Adam Bielan	Adam Bielan	228951150597089	Facebook	PL	Poland	8	1	433387	185287	1808	417
Beata Mateusiak-Pielucha - Poseł na Sejm RP	Komitet Wyborczy Prawo i Sprawiedliwość	169112936501251	Facebook	PL	Poland	24	1	428255	125541	1010	115
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	PL	Poland	39	1	422759	143693	1259	16
Prof. Ryszard Legutko		557305027641691	Facebook	PL	Poland	7	1	415948	175991	1696	395
Małgorzata Sekuła-Szmajdzińska - kandydatka do Parlamentu Europejskiego	Katarzyna Kijakowska	420227048536701	Facebook	PL	Poland	20	1	415866	112971	1670	302
Hubert Czerniak - Włączamy myślenie	Komitet Wyborczy Wyborców Konfederacja Korwin Braun Liroy Narodowcy	798940726870349	Facebook	PL	Poland	7	1	411993	175000	533	93
Adam Cyrański	Adam Jan Kądziela	407715332768236	Facebook	PL	Poland	12	1	404988	126000	1532	442
Marcin Walasek	Marcin Walasek	411040156345710	Facebook	PL	Poland	20	1	400980	128000	646	46
Wrocław - Tu żyję, tu oddycham		354842004935437	Facebook	PL	Poland	3	1	399993	199998	1395	279
Paweł Pudłowski	Selectivv	404295586445224	Facebook	PL	Poland	24	1	399976	97000	1390	209
Mirosława Nykiel Posłanka na Sejm RP	Adam Jan Kądziela	150873051654314	Facebook	PL	Poland	19	1	391975	98998	1461	255
Joanna Mucha	Joanna Mucha	308920973786	Facebook	PL	Poland	11	1	389952	116987	625	93
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	PL	Poland	62	1	389779	170833	1981	444
Zbigniew Kuźmiuk		286259248181285	Facebook	PL	Poland	22	1	388971	118998	692	46
Joachim Brudziński		722625777782250	Facebook	PL	Poland	12	1	387627	142819	857	209
Jacek Wilk		499646073441042	Facebook	PL	Poland	13	1	381949	81992	671	93
Andrzej Halicki	. KKW Koalicja Europejska PO PSL SLD .N Zieloni	370319116027	Facebook	PL	Poland	56	1	372938	93998	1661	93
Dominika Chorosińska	Komitet Wyborczy Prawo i Sprawiedliwość	580557092422382	Facebook	PL	Poland	11	1	371989	80000	1090	209
Marek Plura		439160296154637	Facebook	PL	Poland	8	1	359992	75000	792	0
300Gospodarka		913279165534005	Facebook	PL	Poland	5	1	359847	164926	1766	488
Patryk Marjan		1224502281011628	Facebook	PL	Poland	27	1	329919	85973	1272	162
Foton Technik		1231484993545202	Facebook	PL	Poland	18	1	320982	65000	972	139
Portal Poznan.pl	Portal Poznan.pl	491439407560076	Facebook	PL	Poland	6	1	315994	126000	510	93
K MAG	K MAG	317722036029	Facebook	PL	Poland	7	1	309992	64999	533	93
Fundacja Czyste Powietrze	Magdalena Strózik 	282404075935482	Facebook	PL	Poland	12	1	309988	77000	834	139
toowee.pl		185831628158565	Facebook	PL	Poland	4	1	309546	154775	486	162
