country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	11513	1456	162592634	56006385	1542209	212121
BE	Belgium	12009	2188	329459788	125321550	2272702	395212
BG	Bulgaria	2752	755	28522184	10640896	102143	12249
HR	Croatia	2936	758	40902952	14920014	140646	15019
CY	Cyprus	1871	469	24108515	7938826	102702	8746
CZ	Czechia	6509	985	82088771	28501035	312287	77065
DK	Denmark	9685	1495	107936929	33168606	1001975	239820
EE	Estonia	2261	545	17383399	6197348	97083	12337
FI	Finland	5920	1218	72112200	24992876	730565	111961
FR	France	12389	3187	237180491	91993698	1936633	333120
DE	Germany	36062	4257	399317904	125557533	4482257	397978
EL	Greece	7861	1415	215704258	79272335	827725	79156
HU	Hungary	5551	1586	177497987	73149544	418195	139387
IE	Ireland	4831	1187	55409715	20798899	367588	54535
IT	Italy	17742	4919	437695063	159122767	2268700	242660
LV	Latvia	2343	603	18112506	6310381	85938	9440
LT	Lithuania	2796	667	40017938	15004219	152406	20056
LU	Luxembourg	3221	748	17348996	5712662	96770	7809
MT	Malta	4402	797	45841675	15574847	257026	19476
NL	Netherlands	6968	1598	116921986	46120754	954218	182202
PL	Poland	7789	1724	162580303	59568631	463260	88773
PT	Portugal	4530	1200	52907703	21307761	179615	27943
RO	Romania	5891	1285	299547817	124926494	631826	138279
SK	Slovakia	6558	830	101943958	34761811	673580	64701
SI	Slovenia	2625	647	18859006	6720071	100331	11621
ES	Spain	24886	2109	564352568	215766119	4051085	528635
SE	Sweden	10578	1909	169479909	57057220	1445710	357821
UK	United Kingdom	54883	5242	897565940	306159445	11126802	1509669
