advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Barry O'Donovan - Green Party Candidate for East Clare	O'DONOVAN BARRY	297214490910379	Facebook	m	male	IE	Ireland	8	1	12389	2316	309	0
Sinéad Gibney	Sinead Gibney	1655751191219071	Facebook	m	male	IE	Ireland	4	1	11907	3619	239	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	m	male	IE	Ireland	22	1	11433	4037	38	6
Brendan Wyse	Brendan Wyse	264271610907208	Facebook	m	male	IE	Ireland	2	1	10710	5355	106	0
Ken Campbell	Social Democrats	382362945472645	Facebook	m	male	IE	Ireland	4	1	10014	2003	198	0
Patrick Barry PJ		2443361185698404	Facebook	m	male	IE	Ireland	4	1	9407	1782	225	0
Shakeel Jeeroburkan - Independent	Shakeel Jeeroburkan	1414105668892101	Facebook	m	male	IE	Ireland	3	1	9126	3410	167	0
Owen Hanley	Owen Hanley	234006030801926	Facebook	m	male	IE	Ireland	2	1	9118	3723	117	0
Luke Carroll for City Council	Carroll Luke Jeremiah	370159947166480	Facebook	m	male	IE	Ireland	2	1	8829	3449	119	0
Uplift - People Powered Change	Uplift - People Powered Change	214697488711000	Facebook	m	male	IE	Ireland	4	1	8700	1740	172	0
Liam Boyle Labour	Ó BAOILL ANDREW	555153594978666	Facebook	m	male	IE	Ireland	2	1	8643	3518	112	0
Chris MacManus for Sligo	Chris MacManus for Sligo	1486666311655495	Facebook	m	male	IE	Ireland	2	1	8510	3300	115	0
Trish Roe	Social Democrats	428834224524943	Facebook	m	male	IE	Ireland	4	1	8133	2809	195	0
Sean McCabe - Independent	Seán McCabe 	2206956372697972	Facebook	m	male	IE	Ireland	2	1	7910	3261	101	0
Orla Kelly	Orla Kelly	284729489119670	Facebook	m	male	IE	Ireland	3	1	7836	2814	114	0
Cllr Gerry O'Connor Peace Commissioner	O'CONNOR GERARD PATRICK	689114891286642	Facebook	m	male	IE	Ireland	5	1	7794	2664	376	44
Julie O'Leary	O'Leary Julie	1395595887405642	Facebook	m	male	IE	Ireland	2	1	7763	3019	105	0
Theresa Lowe The Other Side	Frank Mcnamara	2191621574230825	Facebook	m	male	IE	Ireland	3	1	7695	1539	152	0
Donna Sheridan - Local Election Candidate, Castlebar Area	Donna Sheridan	172032100346513	Facebook	m	male	IE	Ireland	2	1	7678	3274	94	0
Sinéad Halpin	Social Democrats	264861490621865	Facebook	m	male	IE	Ireland	3	1	7394	2844	156	0
Patricia O' Dwyer	Selormey Kodzo Effui	1790264301045335	Facebook	m	male	IE	Ireland	5	1	7180	1217	228	0
Tara Deacy	Tara Deacy	1224420741003309	Facebook	m	male	IE	Ireland	3	1	7152	1430	141	0
Labour Dublin North-West	Diamond John	163109954176723	Facebook	m	male	IE	Ireland	2	1	7089	3286	116	0
Aengus Ó Maoláin	Aengus Ó Maoláin	449230735412762	Facebook	m	male	IE	Ireland	2	1	6803	2764	88	0
Sarah Jane Hennelly - Social Democrat for Limerick City	Social Democrats	522564771109094	Facebook	m	male	IE	Ireland	2	1	6640	2666	87	0
Barbara Smyth	People Before Profit - Longford Branch	1591541744396314	Facebook	m	male	IE	Ireland	2	1	6533	3089	96	0
Aontú Galway		994860974048152	Facebook	m	male	IE	Ireland	1	1	6175	3088	61	0
Maria Doherty Sinn Féin	Doherty Aine	316154535751769	Facebook	m	male	IE	Ireland	2	1	6031	2387	80	0
Taxback.com		135579275180	Facebook	m	male	IE	Ireland	2	1	5876	2392	76	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	m	male	IE	Ireland	2	1	5658	2466	12	4
Seán Hartigan Green Party Candidate for Limerick City East	Hartigan Sean	559719824510385	Facebook	m	male	IE	Ireland	2	1	5656	1131	112	0
Cllr Kevin Daly	Daly Kevin	344182612453224	Facebook	m	male	IE	Ireland	2	1	5597	1119	110	0
Dave McGinn Social Democrats for West Wicklow	Mc Ginn David Philip	306572496836936	Facebook	m	male	IE	Ireland	3	1	5364	997	136	0
Pat Hoey Election 2019	Hoey Patrick	1220168271491125	Facebook	m	male	IE	Ireland	1	1	5289	2644	52	0
Joe Loughnane - People Before Profit Galway City Central	Loughnane Joseph	1881598998726029	Facebook	m	male	IE	Ireland	2	1	5247	1049	103	0
Ian Carey - Green Party Swords	Carey Ian Cormac	803717456660395	Facebook	m	male	IE	Ireland	1	1	5173	2586	51	0
Bill Clear Social Democrat Candidate.	Social Democrats	326703511492175	Facebook	m	male	IE	Ireland	1	1	5101	2550	50	0
Eric Nolan for Cork East	Nolan Eric	617724274962768	Facebook	m	male	IE	Ireland	1	1	5048	2524	49	0
Marc Ó Cathasaigh	O Cathasaigh Marc	211195179774577	Facebook	m	male	IE	Ireland	1	1	4917	2459	48	0
Stephen Marken Social Democrats Celbridge	Social Democrats	1297112370427296	Facebook	m	male	IE	Ireland	2	1	4878	975	96	0
Betty Walsh     Social Democrat for Shannon Banks,  Westbury, Carraig Midhe	Walsh Elizabeth Ann	551740651938547	Facebook	m	male	IE	Ireland	1	1	4694	2347	46	0
Mags Crean for Greystones Municipal Council	Crean Margaret	229594167845748	Facebook	m	male	IE	Ireland	1	1	4671	2335	46	0
Mary Callaghan - Social Democrats	Social Democrats	289700685198786	Facebook	m	male	IE	Ireland	1	1	4645	2322	45	0
Aidan Farrelly Social Democrats	Farrelly Aidan	1907649435989003	Facebook	m	male	IE	Ireland	3	1	4602	920	91	0
Cllr Gary Doherty		1375061642743318	Facebook	m	male	IE	Ireland	1	1	4525	2262	44	0
Vote Robert O'Donnell for Tipperary	O'DONNELL ROBERT CHRISTOPHER	451458984908911	Facebook	m	male	IE	Ireland	2	1	4195	839	83	0
Cllr Sarah Holland	Holland Sarah Jane	657954307566585	Facebook	m	male	IE	Ireland	1	1	4074	815	80	0
SMA Ireland	Anton Mannering	2221165624784064	Facebook	m	male	IE	Ireland	1	1	3929	1965	38	0
The Scum Gentry Alternative Arts and Media	Breslin James Zach	326834407424932	Facebook	m	male	IE	Ireland	1	1	3814	762	75	0
Fintan Brett	Brett Fintan Peter	345949292941023	Facebook	m	male	IE	Ireland	2	1	3730	595	133	0
Chris Pender - Social Democrats For Newbridge/Kilcullen	Chris Pender	2489200491152461	Facebook	m	male	IE	Ireland	2	1	3527	1374	47	0
50 Shades Greener	Noboa Raquel	359637214423112	Facebook	m	male	IE	Ireland	1	1	3453	1727	34	0
David Morrison - Green Party Lucan Palmerstown Fonthill	Morisson David Laurence	432262150858003	Facebook	m	male	IE	Ireland	2	1	3422	584	107	0
Noel Rock	Noel Rock	195292974000042	Facebook	m	male	IE	Ireland	1	1	3389	677	67	0
Repeal Kills		946083762213732	Facebook	m	male	IE	Ireland	1	1	3312	662	65	0
Buncrana & South Inishowen Sinn Féin	Ni Bhroin Sinead	620153045086951	Facebook	m	male	IE	Ireland	2	1	3205	641	63	0
Garrett Mullan	Garrett Mullan	475136362553220	Facebook	m	male	IE	Ireland	1	1	3186	637	63	0
West Cork People Before Profit Alliance	O'Sullivan Vanessa	174190439384938	Facebook	m	male	IE	Ireland	1	1	3088	1544	30	0
Senator Maria Byrne	Bryne Bridget Mary	239085373293887	Facebook	m	male	IE	Ireland	1	1	2820	564	55	0
Sile Ni Dhubhghaill Macroom Social Democrats	Ní Dhubhghaill Síle	1379345932119384	Facebook	m	male	IE	Ireland	3	1	2707	465	83	0
sortedfestivalessentials		343551302970040	Facebook	m	male	IE	Ireland	2	1	2488	436	45	0
Jo Tully People Before Profit Donaghmede	People Before Profit	236116437317758	Facebook	m	male	IE	Ireland	1	1	2372	474	46	0
Billy Kelleher TD		1065942253417902	Facebook	m	male	IE	Ireland	4	1	2358	0	233	0
Niall McNelis Mayor of Galway City		370136253367940	Facebook	m	male	IE	Ireland	1	1	2332	466	46	0
Daniel Whooley - Ongar	Ben O'Leary Fitzpatrick 	566106640523884	Facebook	m	male	IE	Ireland	1	1	2324	464	46	0
Declan Burke - Fianna Fáil - Tallaght Central	Burke Declan	666587086733858	Facebook	m	male	IE	Ireland	1	1	2318	463	45	0
Vote Micheal Callaghan	Callaghan Micheal	740130766087039	Facebook	m	male	IE	Ireland	1	1	2301	460	45	0
Eoin Barry For Laois Council 2019	Barry Eoin	469695723432344	Facebook	m	male	IE	Ireland	1	1	2259	451	44	0
Conor Bergin for Laois County Council	Bergin Conor	323342671593143	Facebook	m	male	IE	Ireland	1	1	2254	451	44	0
St patrick's movement for life		2213620472218596	Facebook	m	male	IE	Ireland	1	1	2167	433	42	0
Separated.ie		412961078826996	Facebook	m	male	IE	Ireland	2	1	2122	424	42	0
Aontú Chorcaí		2332282536791346	Facebook	m	male	IE	Ireland	1	1	2048	409	40	0
Noeleen O'Hagan - Sinn Féin		1605653193088824	Facebook	m	male	IE	Ireland	1	1	1958	391	34	0
Catriona Reid		1054661151405363	Facebook	m	male	IE	Ireland	1	1	1906	381	37	0
Irish Traveller Movement		160681543259	Facebook	m	male	IE	Ireland	1	1	1883	376	37	0
Carol Deans Social Democrat For Dublin North Inner City	Social Democrats	300779350510132	Facebook	m	male	IE	Ireland	1	1	1865	373	36	0
Niamh McDonald - Donaghmede LEA	Mc Donald Niamh Elizabeth	132883007630767	Facebook	m	male	IE	Ireland	2	1	1852	370	36	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	m	male	IE	Ireland	1	1	1669	834	4	0
Rita Harrold - Socialist Feminist for Europe	Socialist Party	419121618646568	Facebook	m	male	IE	Ireland	1	1	1493	298	29	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m	male	IE	Ireland	5	1	1290	420	4	0
Alice O'Donnell-Greystones FG Local Election candidate #LE19	O'Donnell Alice Mary	131481550944517	Facebook	m	male	IE	Ireland	1	1	1255	251	24	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	m	male	IE	Ireland	1	1	955	477	2	0
Fiona Lynam Social Democrat for Athlone	Fiona Lynam Social Democrats	151823109090883	Facebook	m	male	IE	Ireland	2	1	926	0	91	0
Irish Single Parents Fight Back		230260297044082	Facebook	m	male	IE	Ireland	1	1	763	152	15	0
Cllr. Eoghan O'Brien		2179795845569625	Facebook	m	male	IE	Ireland	1	1	726	0	71	0
Beckha Doyle - Social Democrat for Scarriff & Killaloe	Beckha Doyle For Scarriff Killaloe	286051255266972	Facebook	m	male	IE	Ireland	2	1	704	0	69	0
Legion Of Mary Kells		950055141699203	Facebook	m	male	IE	Ireland	2	1	571	0	56	0
Europe Thinx		335839580440114	Facebook	m	male	IE	Ireland	1	1	557	111	0	0
Ian McGahon, Bray West, Local Election Candidate, #LE19		1060847597322848	Facebook	m	male	IE	Ireland	2	1	546	0	54	0
Cllr. Seamus Hanafin	Fogarty Gerard	78105981167	Facebook	m	male	IE	Ireland	1	1	499	0	49	0
Heather Humphreys		1442549826008772	Facebook	m	male	IE	Ireland	1	1	498	0	49	0
Cllr Jim Finucane Fine Gael		889419298078209	Facebook	m	male	IE	Ireland	1	1	482	0	47	0
Vote for Pauric Kennedy		2048518542115119	Facebook	m	male	IE	Ireland	1	1	470	0	46	0
Yellowed		422966644928472	Facebook	m	male	IE	Ireland	7	1	378	0	33	0
Discover Philadelphia		60364167807	Facebook	m	male	IE	Ireland	1	1	315	157	2	0
CRIF		395919323779707	Facebook	m	male	IE	Ireland	1	1	160	80	0	0
ETUC		129041250601685	Facebook	m	male	IE	Ireland	1	1	61	12	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	m	male	IE	Ireland	1	1	48	19	0	0
Big News Buzz		125179374733697	Facebook	m	male	IE	Ireland	1	1	44	22	0	0
IronStone Legal		1779470342266633	Facebook	m	male	IE	Ireland	1	1	31	0	3	0
Eurozine		115579498521257	Facebook	m	male	IE	Ireland	1	1	20	4	0	0
ITUC		20556338116	Facebook	m	male	IE	Ireland	2	1	13	0	1	0
Tom MacDonald		212732770186	Facebook	m	male	IE	Ireland	1	1	11	2	0	0
Martina Anderson MEP	Martina Anderson MEP	181068275415047	Facebook	m	male	IE	Ireland	2	1	6	3	0	0
Lilian Seenoi-Barr for Council	Lilian Seenoi	421660725077543	Facebook	m	male	IE	Ireland	1	1	5	1	0	0
Free Quran Education		388655174641163	Facebook	m	male	IE	Ireland	1	1	2	0	0	0
Social Democratic and Labour Party (SDLP)	Social Democratic and Labour Party (SDLP)	111956985487415	Facebook	m	male	IE	Ireland	1	1	2	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	m	male	IE	Ireland	2	1	2	0	0	0
John Feely - Sinn Féin	Sinn Féin Fermanagh	1561905844138855	Facebook	m	male	IE	Ireland	1	1	1	0	0	0
Democratic Unionist Party	Democratic Unionist Party	105732052794210	Facebook	m	male	IE	Ireland	1	1	1	0	0	0
The Years Project	The Years Project	168876449866088	Facebook	m	male	IE	Ireland	1	1	1	0	0	0
London Green Party	London Green Party	175350485880358	Facebook	m	male	IE	Ireland	1	1	0	0	0	0
dom-i-NEEK		260052198180831	Facebook	m	male	IE	Ireland	1	1	0	0	0	0
