gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	IE	Ireland	127	57	1160911	372110	8735	887
m	male	IE	Ireland	124	56	1028195	344692	7419	795
u	unknown	IE	Ireland	115	54	21521	7506	155	21
