audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	LU	Luxembourg	3215	715	2849581	1024452	15401	1990
f18_24	female (18-24)	LU	Luxembourg	2794	640	2764849	944566	14533	1675
m25_34	male (25-34)	LU	Luxembourg	2991	699	2752282	954748	15701	1500
m18_24	male (18-24)	LU	Luxembourg	2635	625	2575976	861813	14478	1313
f35_44	female (35-44)	LU	Luxembourg	3131	699	1743863	602036	9975	1040
m35_44	male (35-44)	LU	Luxembourg	2919	685	1598144	539756	9628	808
f45_54	female (45-54)	LU	Luxembourg	2960	670	1213221	394230	7398	670
m45_54	male (45-54)	LU	Luxembourg	2740	655	1080229	345831	6664	470
f55_64	female (55-64)	LU	Luxembourg	2399	622	759380	233085	5024	366
m55_64	male (55-64)	LU	Luxembourg	2244	608	609501	182139	4209	205
f65_	female (65+)	LU	Luxembourg	2152	556	385540	116864	2631	175
m65_	male (65+)	LU	Luxembourg	2018	541	315708	93938	2075	102
f13_17	female (13-17)	LU	Luxembourg	435	142	281275	82150	1642	75
m13_17	male (13-17)	LU	Luxembourg	406	136	175773	50094	1160	33
u25_34	unknown (25-34)	LU	Luxembourg	2630	618	49882	16857	334	24
u35_44	unknown (35-44)	LU	Luxembourg	2592	613	45585	15184	269	21
u45_54	unknown (45-54)	LU	Luxembourg	2363	570	21079	6617	139	8
u55_64	unknown (55-64)	LU	Luxembourg	1719	501	10423	3031	72	3
u18_24	unknown (18-24)	LU	Luxembourg	2008	494	9155	3079	51	4
u65_	unknown (65+)	LU	Luxembourg	1598	464	7684	2313	49	2
u13_17	unknown (13-17)	LU	Luxembourg	271	117	1414	398	8	0
