advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Christoffer Ingo		803386486399268	Facebook	w014	Week 14	FI	Finland	2	1	12998	5000	178	0
Liban Sheikh		302959147221497	Facebook	w014	Week 14	FI	Finland	5	1	12997	3550	244	0
Eduskuntavaaliehdokas Anu Järveläinen		615662268869577	Facebook	w014	Week 14	FI	Finland	1	1	12499	2500	124	25
Silvia Modig		181926121838325	Facebook	w014	Week 14	FI	Finland	2	1	12165	4833	161	0
Porin Vasemmisto		180935698653271	Facebook	w014	Week 14	FI	Finland	6	1	12156	5454	231	0
Tanja Vahvelainen kansanedustajaehdokas		653005468206971	Facebook	w014	Week 14	FI	Finland	6	1	12112	3131	216	0
SLC		126812894035597	Facebook	w014	Week 14	FI	Finland	4	1	11890	2378	88	11
Reetta Vanhanen		1504918263070191	Facebook	w014	Week 14	FI	Finland	3	1	11664	2000	264	20
Myä päätetää - Joona Mielonen		723569781049029	Facebook	w014	Week 14	FI	Finland	1	1	11538	2307	115	23
Ramieza Mahdi		268670670234757	Facebook	w014	Week 14	FI	Finland	4	1	11512	2136	294	0
Aura Salla		357502994332188	Facebook	w014	Week 14	FI	Finland	3	1	10416	4281	268	0
Veronica Rehn-Kivi		1569608096585241	Facebook	w014	Week 14	FI	Finland	1	1	10143	2028	101	20
Antti Häkkänen		1413586768888451	Facebook	w014	Week 14	FI	Finland	1	1	9999	5000	99	0
Vihreämpi planeetta		292971488047613	Facebook	w014	Week 14	FI	Finland	1	1	9998	4999	462	92
Risto Kuisman sd tukiryhmä		153995244625836	Facebook	w014	Week 14	FI	Finland	1	1	9998	4999	98	0
Harri Salonen		610646839145678	Facebook	w014	Week 14	FI	Finland	1	1	9998	4999	98	0
Daniel Sazonov		714507148637800	Facebook	w014	Week 14	FI	Finland	1	1	9992	4996	98	0
Mira Nieminen kansanedustajaksi 2019		2010375012387805	Facebook	w014	Week 14	FI	Finland	4	1	9749	1634	318	0
Senni Martikainen		617885081728247	Facebook	w014	Week 14	FI	Finland	2	1	9463	4517	100	0
Jussi Mäkipelto - Liberaalipuolue		1057558317751103	Facebook	w014	Week 14	FI	Finland	7	1	9456	1298	422	0
Matleena Käppi		1806983809518838	Facebook	w014	Week 14	FI	Finland	4	1	9425	1571	311	0
Pelastakaa Lapset		113398820097	Facebook	w014	Week 14	FI	Finland	1	1	8974	1794	17	0
