country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	w020	Week 20	765	119	984620	230355	19946	833
FI	Finland	w019	Week 19	1217	158	8909943	2624214	110209	9373
FI	Finland	w018	Week 18	789	168	9164647	3830645	82282	22843
FI	Finland	w017	Week 17	508	142	2682187	1013927	28155	6472
FI	Finland	w016	Week 16	562	191	1551606	481221	19204	3009
FI	Finland	w015	Week 15	1697	525	15848071	5204235	154475	24345
FI	Finland	w014	Week 14	1301	482	10305055	3559955	93309	15128
FI	Finland	w013	Week 13	865	352	6787603	2571512	69714	12215
FI	Finland	w012	Week 12	719	302	4692755	1749954	48553	7127
FI	Finland	w011	Week 11	412	199	1677914	561582	18326	1874
