country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CZ	Czechia	w020	Week 20	788	142	1961697	683422	5275	1479
CZ	Czechia	w019	Week 19	2285	196	22032057	7395743	72833	17889
CZ	Czechia	w018	Week 18	1447	207	15591155	5708299	56580	17383
CZ	Czechia	w017	Week 17	1106	198	8246554	2529197	36675	10044
CZ	Czechia	w016	Week 16	984	222	10151535	3439897	38004	9274
CZ	Czechia	w015	Week 15	1027	308	6253102	2423892	28258	5321
CZ	Czechia	w014	Week 14	825	307	3267176	1142256	12519	2214
CZ	Czechia	w013	Week 13	575	215	3546002	1350587	15583	3334
CZ	Czechia	w012	Week 12	460	190	3976221	1540123	19036	4015
CZ	Czechia	w011	Week 11	255	113	1167614	324842	3566	661
