advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	rm1	Last month	251	1	193399999	19230000	1157599	22599
Future Innovation SRL		AR474748779908562944	Google	rm1	Last month	43	1	174695072	17465507	669741	11613
AMERISOFT SRL		AR573801583431647232	Google	rm1	Last month	216	1	158719175	15793461	16932	750
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	rm1	Last month	42	1	141810000	14180000	729050	41899
European Parliament		178362315106	Facebook	rm1	Last month	662	1	122560059	56271454	660206	182286
Podemos	Unidas Podemos	269212336568846	Facebook	rm1	Last month	306	1	90843141	40256111	543911	142869
Ciudadanos	Ciudadanos	74078667754	Facebook	rm1	Last month	6235	1	88985765	26936999	878365	66400
Partido Popular	Partido Popular	72249031214	Facebook	rm1	Last month	3644	1	80954475	27950583	582683	60933
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rm1	Last month	829	1	65860504	5982381	86990	2853
Freiheitliche Partei Österreich		AR333020356698701824	Google	rm1	Last month	51	1	58268911	5799999	486194	37499
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	rm1	Last month	126	1	54322499	5387500	167450	3900
COALICION CANARIA		AR489541609348661248	Google	rm1	Last month	3661	1	53489664	1831904	216070	1122
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	rm1	Last month	76	1	40397794	3994782	400069	7321
CDU	CDU	78502295414	Facebook	rm1	Last month	3170	1	38647830	9275000	347030	8300
sp.a	sp.a	57253967150	Facebook	rm1	Last month	395	1	36462909	14479479	168544	36583
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rm1	Last month	90	1	35846243	16041666	76298	22117
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rm1	Last month	182	1	33501987	15204666	93651	20835
SPD	SPD	47930567748	Facebook	rm1	Last month	6460	1	31012539	8223000	757240	30799
FDP	FDP	21289227249	Facebook	rm1	Last month	2060	1	29820894	9033097	258284	14599
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rm1	Last month	369	1	28059630	11558000	126530	24199
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rm1	Last month	116	1	27882785	11518823	85833	21960
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	rm1	Last month	143	1	27799999	2710000	9849	300
România în primul rând	Future Innovation	770704223323599	Facebook	rm1	Last month	92	1	26354908	11768500	27868	6737
Kialo		729627343834501	Facebook	rm1	Last month	331	1	26032669	9850000	124831	28116
PSOE	PSOE	189318235003	Facebook	rm1	Last month	335	1	25570665	10272999	78065	14299
