advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm6	Last 6 months	1659	1	250458340	112070999	1285820	322239
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	rm6	Last 6 months	251	1	193399999	19230000	1157599	22599
Future Innovation SRL		AR474748779908562944	Google	rm6	Last 6 months	43	1	183040000	18300000	695950	12049
AMERISOFT SRL		AR573801583431647232	Google	rm6	Last 6 months	216	1	161730000	16089999	17550	750
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	rm6	Last 6 months	42	1	141810000	14180000	729050	41899
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	rm6	Last 6 months	89	1	128239999	12779999	648249	12150
Podemos	Unidas Podemos	269212336568846	Facebook	rm6	Last 6 months	331	1	104971669	46949000	622568	161999
Ciudadanos	Ciudadanos	74078667754	Facebook	rm6	Last 6 months	6245	1	91000755	27832999	886755	68300
Partido Popular	Partido Popular	72249031214	Facebook	rm6	Last 6 months	3644	1	81745355	28176999	586556	61100
People's Vote UK	People's Vote	748608695327755	Facebook	rm6	Last 6 months	3116	1	80186884	27488999	1035550	185150
Britain's Future	Britain's Future	1625300137516491	Facebook	rm6	Last 6 months	3505	1	71134494	22106000	855157	127406
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rm6	Last 6 months	850	1	68979999	6270000	95399	3050
Freiheitliche Partei Österreich		AR333020356698701824	Google	rm6	Last 6 months	51	1	58290000	5799999	486299	37499
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	rm6	Last 6 months	126	1	56519999	5590000	170000	4050
COALICION CANARIA		AR489541609348661248	Google	rm6	Last 6 months	3716	1	56060000	1989999	221599	1149
Kialo		729627343834501	Facebook	rm6	Last 6 months	566	1	55977433	22129000	300777	69810
SPD	SPD	47930567748	Facebook	rm6	Last 6 months	8829	1	51438170	14724999	1098371	60100
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	rm6	Last 6 months	176	1	42620000	4230000	8799	0
sp.a	sp.a	57253967150	Facebook	rm6	Last 6 months	424	1	41703575	16654999	197876	42700
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	rm6	Last 6 months	83	1	41600000	4099999	431999	7950
CDU	CDU	78502295414	Facebook	rm6	Last 6 months	3170	1	38647830	9275000	347030	8300
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rm6	Last 6 months	92	1	36072908	16150000	76648	22250
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rm6	Last 6 months	184	1	33894815	15393000	95286	21325
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	rm6	Last 6 months	120	1	33150000	3239999	10050	449
FDP	FDP	21289227249	Facebook	rm6	Last 6 months	2149	1	30752851	9299000	267850	14599
