week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-16	LU	Luxembourg	463	83	3837668	1410264	20750	3233
w019	Week 19	2019-05-06	2019-05-12	LU	Luxembourg	464	97	3759646	1312547	20245	2503
w018	Week 18	2019-04-29	2019-05-05	LU	Luxembourg	499	118	2923456	968427	16617	1408
w017	Week 17	2019-04-22	2019-04-28	LU	Luxembourg	473	114	1043272	372868	6323	501
w016	Week 16	2019-04-15	2019-04-21	LU	Luxembourg	515	151	668896	187830	4335	400
w015	Week 15	2019-04-08	2019-04-14	LU	Luxembourg	745	251	1688570	448656	8379	330
w014	Week 14	2019-04-01	2019-04-07	LU	Luxembourg	650	245	1056118	260374	7647	150
w013	Week 13	2019-03-25	2019-03-31	LU	Luxembourg	555	224	1789536	625309	12755	944
w012	Week 12	2019-03-18	2019-03-24	LU	Luxembourg	414	189	1246532	487606	7169	1044
w011	Week 11	2019-03-11	2019-03-17	LU	Luxembourg	284	121	573742	186422	2873	462
w010	Week 10	2019-03-04	2019-03-10	LU	Luxembourg	268	96	382620	111938	2508	129
w009	Week 9	2019-02-25	2019-03-03	LU	Luxembourg	139	63	271382	66448	1537	124
w008	Week 8	2019-02-18	2019-02-24	LU	Luxembourg	110	55	173277	46667	855	28
w007	Week 7	2019-02-11	2019-02-17	LU	Luxembourg	80	39	134869	37380	741	20
w006	Week 6	2019-02-04	2019-02-10	LU	Luxembourg	84	37	144326	45861	574	28
w005	Week 5	2019-01-28	2019-02-03	LU	Luxembourg	91	30	95602	25545	258	20
w004	Week 4	2019-01-21	2019-01-27	LU	Luxembourg	72	28	40581	18061	452	16
w003	Week 3	2019-01-14	2019-01-20	LU	Luxembourg	74	26	25938	11683	186	8
w002	Week 2	2019-01-07	2019-01-13	LU	Luxembourg	58	24	6475	1679	17	1
w001	Week 1	2019-01-01	2019-01-06	LU	Luxembourg	44	18	10095	3519	68	3
