age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	ES	Spain	885	367	2612134	1035848	6266	562
18_24	18-24	ES	Spain	14840	1852	95222442	38366475	511797	75180
25_34	25-34	ES	Spain	18498	2038	134358900	52417925	866163	122864
35_44	35-44	ES	Spain	18547	2043	123875171	47726950	898940	123912
45_54	45-54	ES	Spain	18641	1965	101232804	37310271	772613	99602
55_64	55-64	ES	Spain	17792	1797	68471972	24851990	627364	67792
65_	65+	ES	Spain	15394	1588	38579140	14056657	367939	38720
