advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION CANARIA		AR489541609348661248	Google	0_1k	0 - 1k	3616	1	24398688	0	121993	0
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	0_1k	0 - 1k	1420	1	9581343	0	47906	0
SPD	SPD	47930567748	Facebook	0_1k	0 - 1k	6678	1	6671321	0	661121	0
mmb media agentur d.o.o.		AR524572049809604608	Google	0_1k	0 - 1k	730	1	4925620	0	24628	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	0_1k	0 - 1k	628	1	4237382	0	21186	0
HLAS		AR312619193323225088	Google	0_1k	0 - 1k	559	1	3771810	0	23109	472
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	0_1k	0 - 1k	3385	1	3381614	0	335115	0
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	0_1k	0 - 1k	2553	1	2550447	0	292476	0
Ciudadanos	Ciudadanos	74078667754	Facebook	0_1k	0 - 1k	2467	1	2464533	0	244233	0
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	0_1k	0 - 1k	264	1	1781320	0	34276	910
Conservatives	The Conservative Party	8807334278	Facebook	0_1k	0 - 1k	1445	1	1443554	0	165541	0
Gestion et Action Libérale		AR201311233196949504	Google	0_1k	0 - 1k	208	1	1403464	0	29351	573
Partido Popular	Partido Popular	72249031214	Facebook	0_1k	0 - 1k	1174	1	1172825	0	116226	0
FDP	FDP	21289227249	Facebook	0_1k	0 - 1k	1159	1	1157840	0	114741	0
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	0_1k	0 - 1k	1144	1	1142855	0	131058	0
ČSSD	ČSSD	111041662264882	Facebook	0_1k	0 - 1k	1135	1	1133864	0	6465	524
Flamesite s.r.o.		AR522320249995919360	Google	0_1k	0 - 1k	167	1	1126819	0	5634	0
Britain's Future	Britain's Future	1625300137516491	Facebook	0_1k	0 - 1k	1037	1	1035962	0	118800	0
People's Vote UK	People's Vote	748608695327755	Facebook	0_1k	0 - 1k	1030	1	1028969	0	117998	0
TOP 09		AR268709096956362752	Google	0_1k	0 - 1k	148	1	998618	0	4993	0
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	0_1k	0 - 1k	134	1	904154	0	4520	0
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	0_1k	0 - 1k	884	1	883116	0	87516	0
CDU	CDU	78502295414	Facebook	0_1k	0 - 1k	841	1	840159	0	83259	0
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	0_1k	0 - 1k	794	1	793206	0	78606	0
Médecins du Monde France		265420476920	Facebook	0_1k	0 - 1k	762	1	761237	0	75394	0
