advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	5	1	0	0	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
Big News Buzz		125179374733697	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
European Commission	European Commission	107898832590939	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	3	1	0	0	0	0
Free Quran Education		388655174641163	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
Europe Thinx		335839580440114	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	3	1	0	0	0	0
ETUC		129041250601685	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
Mahindra Rise		158304157570734	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	0	0	0	0
Catharina Rinzema		2114625695290780	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
הכבוד של זוזו		320568938138544	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
I vote Europe		608176689275464	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
Sense Mesura		1606564102740842	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	5	1	0	0	0	0
Tokyo Weekender		134654693230171	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
CLAYTON		122493385103	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
Gilets jaunes Dreux 28	Andrei Vladimirovitch Goultsev	973394992846401	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	0	0	0	0
