region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
alsace	Alsace	FR	France	311	75	32223	13628	228	44
aquitaine	Aquitaine	FR	France	343	74	100838	42321	769	132
auvergne	Auvergne	FR	France	270	64	59960	15006	179	16
basse_normandie	Basse-Normandie	FR	France	272	65	18257	7715	128	21
bourgogne	Bourgogne	FR	France	270	63	17686	7733	114	22
bretagne	Bretagne	FR	France	282	66	87015	37959	558	112
centre	Centre	FR	France	281	66	47223	20250	398	60
champagne_ardenne	Champagne-Ardenne	FR	France	317	78	16054	6981	97	19
corse	Corse	FR	France	255	57	2275	917	27	2
franche_comte	Franche-Comté	FR	France	269	62	10127	4408	64	12
haute_normandie	Haute-Normandie	FR	France	283	66	34433	14874	220	42
languedoc_roussillon	Languedoc-Roussillon	FR	France	292	70	205804	57322	1565	254
limousin	Limousin	FR	France	260	60	3801	1657	24	4
lorraine	Lorraine	FR	France	323	80	50838	22190	321	65
midi_pyrenees	Midi-Pyrénées	FR	France	296	70	114067	36667	958	184
nord_pas_de_calais	Nord-Pas-de-Calais	FR	France	429	122	185504	78641	1277	220
pays_de_la_loire	Pays de la Loire	FR	France	285	71	194491	60954	1224	223
picardie	Picardie	FR	France	288	71	30268	13164	178	36
poitou_charentes	Poitou-Charentes	FR	France	275	63	24874	10790	163	32
provence_alpes_cote_dazur	Provence-Alpes-Côte d'Azur	FR	France	314	79	248706	101374	1856	352
rhone_alpes	Rhône-Alpes	FR	France	319	78	396730	158685	3086	560
ile_de_france	Île-de-France	FR	France	353	83	1493657	575086	12192	1858
