country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	f	female	5649	1164	39183635	13741402	384184	60302
FI	Finland	m	male	5251	1124	31631596	10936659	329115	49967
FI	Finland	u	unknown	4741	1063	906848	310875	8970	1311
