region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
baden_wurttemberg	Baden-Württemberg	DE	Germany	17676	1910	16976292	4906078	237089	9591
bayern	Bayern	DE	Germany	16741	1894	8537023	2585782	118161	7644
berlin	Berlin	DE	Germany	15546	1744	8450505	2626200	109200	10508
brandenburg	Brandenburg	DE	Germany	12228	1330	609343	136372	12620	198
bremen	Bremen	DE	Germany	13060	1309	2834416	700189	44322	760
hamburg	Hamburg	DE	Germany	14644	1549	3942190	1088550	56699	4132
hessen	Hessen	DE	Germany	16226	1732	7867671	2134774	95332	4623
mecklenburg_vorpommern	Mecklenburg-Vorpommern	DE	Germany	12138	1272	1065788	244146	21017	139
niedersachsen	Niedersachsen	DE	Germany	16124	1676	8785587	2317034	104167	3047
nordrhein_westfalen	Nordrhein-Westfalen	DE	Germany	17572	1959	30461931	9042874	271334	17142
rheinland_pfalz	Rheinland-Pfalz	DE	Germany	16078	1722	7296033	1767774	127510	2878
saarland	Saarland	DE	Germany	12922	1303	2635262	757092	27681	1931
sachsen	Sachsen	DE	Germany	14504	1503	3157439	775902	59727	2373
saxony_anhalt	Saxony-Anhalt	DE	Germany	13011	1347	1617745	394130	30080	1307
schleswig_holstein	Schleswig-Holstein	DE	Germany	14011	1423	3291446	795837	48784	589
thuringen	Thüringen	DE	Germany	13234	1381	2290681	566527	35026	647
