country_code_filter	country_name_filter	spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	0_1k	0 - 1k	5860	1209	55967353	17379445	570937	64889
FI	Finland	1k_5k	1k - 5k	128	54	11630900	5406607	109165	21961
FI	Finland	5k_10k	5k - 10k	16	10	4508642	2204169	50226	25062
FI	Finland	10k_50k	10k - 50k	1	1	5304	2652	236	47
