advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	BG	Bulgaria	53	1	4801892	2203796	9512	2278
Демократична България	Демократична България	995342840629890	Facebook	f	Facebook	BG	Bulgaria	35	1	2577272	956049	5832	744
Kialo		729627343834501	Facebook	f	Facebook	BG	Bulgaria	256	1	2419785	938121	13701	3267
Приоритети	БЗНС	1163987410423594	Facebook	f	Facebook	BG	Bulgaria	56	1	1410413	502773	5022	150
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f	Facebook	BG	Bulgaria	51	1	1056048	488526	2189	610
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	f	Facebook	BG	Bulgaria	54	1	1021089	416246	3841	839
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	Facebook	BG	Bulgaria	25	1	838027	324860	2376	315
Бареков и Байрактаров без цензура - ТВ предаване		405986069871245	Facebook	f	Facebook	BG	Bulgaria	10	1	750326	265858	1463	392
Стефан Тафров	Стефан Тафров	233810563693016	Facebook	f	Facebook	BG	Bulgaria	39	1	719490	174155	3528	0
Път на младите	Път на младите	2051476654950711	Facebook	f	Facebook	BG	Bulgaria	16	1	681016	233472	2448	261
Крум Дончев/Krum Donchev		155516354469476	Facebook	f	Facebook	BG	Bulgaria	8	1	679340	324705	556	0
Лиляна Павлова	Лиляна Павлова	119576588238010	Facebook	f	Facebook	BG	Bulgaria	23	1	611448	126894	2226	0
Valeri Simeonov		1967166133516609	Facebook	f	Facebook	BG	Bulgaria	22	1	576344	138075	2125	0
Volen Siderov		48268614826	Facebook	f	Facebook	BG	Bulgaria	22	1	548609	119952	1714	0
European Greens	European Greens	141366725876424	Facebook	f	Facebook	BG	Bulgaria	9	1	520153	234159	1860	451
informo.bg	informo.bg	262524054082832	Facebook	f	Facebook	BG	Bulgaria	6	1	514653	231355	1073	154
ПП ГЕРБ - София		336639303182606	Facebook	f	Facebook	BG	Bulgaria	1	1	499999	200000	444	89
Европейски парламент в България		163350039852	Facebook	f	Facebook	BG	Bulgaria	1	1	499999	200000	4999	1000
Партия на ЗЕЛЕНИТЕ	Mitrakiev Boyan	1438204226503681	Facebook	f	Facebook	BG	Bulgaria	13	1	375182	78038	1210	0
Кристиян Шкварек	Oblakov Nikolay	651747871952382	Facebook	f	Facebook	BG	Bulgaria	17	1	349236	84323	1476	0
European Commission		107898832590939	Facebook	f	Facebook	BG	Bulgaria	3	1	331399	165700	980	240
България на Труда и Разума - БТР		709384432421964	Facebook	f	Facebook	BG	Bulgaria	8	1	318100	66298	623	0
За Петър Чобанов	Chobanov Petar	762986410409232	Facebook	f	Facebook	BG	Bulgaria	24	1	291035	65694	2091	0
Ангел Джамбазки	Войчин Мирчо	139581756144530	Facebook	f	Facebook	BG	Bulgaria	9	1	237088	73611	699	0
Greens/EFA in the European Parliament		150527751674751	Facebook	f	Facebook	BG	Bulgaria	13	1	198699	79642	309	49
