region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
aveiro_district	Aveiro District	PT	Portugal	2435	763	443897	190817	1278	187
beja_district	Beja District	PT	Portugal	1968	645	14961	4618	143	4
braga_district	Braga District	PT	Portugal	2535	819	414485	170361	1966	145
castelo_branco_district	Castelo Branco District	PT	Portugal	2070	671	31529	11895	244	5
coimbra_district	Coimbra District	PT	Portugal	2449	774	186540	63404	607	52
faro_district	Faro District	PT	Portugal	2733	834	199169	64367	1811	41
guarda_district	Guarda District	PT	Portugal	1845	621	6683	2392	20	2
leiria_district	Leiria District	PT	Portugal	2376	757	128607	39946	558	37
lisbon_district	Lisbon District	PT	Portugal	3331	1021	3675177	1338414	17210	2013
portalegre_district	Portalegre District	PT	Portugal	2028	630	7010	2573	20	2
porto_district	Porto District	PT	Portugal	2925	900	1714248	678051	7058	585
santarem_district	Santarém District	PT	Portugal	2296	764	172688	45855	851	25
setubal_district	Setúbal District	PT	Portugal	2583	826	282721	92871	1656	74
viana_do_castelo_district	Viana do Castelo District	PT	Portugal	2475	707	34040	11838	262	8
vila_real_district	Vila Real District	PT	Portugal	2000	629	35209	8997	408	4
viseu_district	Viseu District	PT	Portugal	2252	700	62078	22984	415	17
evora_district	Évora District	PT	Portugal	2109	679	19171	6912	62	11
