audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	ES	Spain	14886	1722	63566802	24607538	414281	61452
f35_44	female (35-44)	ES	Spain	15029	1726	61891236	23629074	444520	63145
m25_34	male (25-34)	ES	Spain	13852	1663	56541392	22117875	381117	54621
f45_54	female (45-54)	ES	Spain	15558	1664	54524582	19803849	425815	54123
m35_44	male (35-44)	ES	Spain	13924	1662	50645999	19699706	379570	52685
f18_24	female (18-24)	ES	Spain	11780	1555	47398049	18831314	262071	39787
f55_64	female (55-64)	ES	Spain	14883	1529	40132487	14361027	374300	39935
m45_54	male (45-54)	ES	Spain	13428	1600	38250414	14298523	287826	39528
m18_24	male (18-24)	ES	Spain	11406	1509	33099640	13227714	190587	28191
m55_64	male (55-64)	ES	Spain	12468	1478	22268256	8286208	196431	23014
f65_	female (65+)	ES	Spain	12684	1354	21709146	7792390	214805	21666
m65_	male (65+)	ES	Spain	11169	1316	12954972	4863404	117574	13665
f13_17	female (13-17)	ES	Spain	676	270	1196796	455621	2879	173
u35_44	unknown (35-44)	ES	Spain	9686	1399	940668	373428	6560	1021
m13_17	male (13-17)	ES	Spain	602	253	852697	333476	1734	138
u25_34	unknown (25-34)	ES	Spain	8793	1302	502817	199059	3185	511
u45_54	unknown (45-54)	ES	Spain	8845	1277	417358	159317	3077	447
u55_64	unknown (55-64)	ES	Spain	6657	1059	162937	61783	1370	177
u65_	unknown (65+)	ES	Spain	5931	959	144670	55547	1214	157
u18_24	unknown (18-24)	ES	Spain	5295	976	109438	43310	647	99
u13_17	unknown (13-17)	ES	Spain	421	191	2836	1071	9	0
