advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d080	2019-03-21	417	1	4360003	1863827	26277	5524
People's Vote UK	People's Vote	748608695327755	Facebook	d080	2019-03-21	52	1	3086403	1376416	22950	6002
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	d080	2019-03-21	108	1	1115879	106893	441	0
UK government	UK government	408582579294175	Facebook	d080	2019-03-21	4	1	1022772	409109	11970	2477
Britain's Future	Britain's Future	1625300137516491	Facebook	d080	2019-03-21	68	1	748144	155333	9756	1793
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	d080	2019-03-21	3	1	649997	260000	620	89
Gazeta Wyborcza		63563473556	Facebook	d080	2019-03-21	12	1	529988	172000	1020	186
The Intercept Brasil		1754956431459064	Facebook	d080	2019-03-21	2	1	516665	208333	458	89
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	d080	2019-03-21	1	1	499999	250000	499	250
Clicca lavoro		148072955256328	Facebook	d080	2019-03-21	1	1	499999	200000	499	100
Sosialidemokraatit SDP		108945982480217	Facebook	d080	2019-03-21	41	1	350575	154764	1682	377
Scientists for EU	Scientists for EU	642444842524195	Facebook	d080	2019-03-21	2	1	349999	150000	5784	1157
European Greens		141366725876424	Facebook	d080	2019-03-21	11	1	349181	160818	1870	420
Andy Street	The Conservative Party	625464517632792	Facebook	d080	2019-03-21	186	1	331451	105729	4406	219
Petras Auštrevičius		1482024028702535	Facebook	d080	2019-03-21	10	1	327049	155000	1696	200
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	d080	2019-03-21	5	1	321306	154261	1816	694
Vattenfall Sverige		608975645850217	Facebook	d080	2019-03-21	24	1	320369	146666	3910	1121
Partido Popular Regional De Canarias		AR288284801977286656	Google	d080	2019-03-21	49	1	303750	28333	206	0
Siegfried Muresan		731035500293728	Facebook	d080	2019-03-21	2	1	274999	105000	104	21
Sign for my Future	Sign for my Future	1345513882259768	Facebook	d080	2019-03-21	9	1	271832	125000	1915	475
European Commission		107898832590939	Facebook	d080	2019-03-21	14	1	268749	125000	999	246
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	d080	2019-03-21	1	1	249999	100000	249	50
REWE		111315165557626	Facebook	d080	2019-03-21	2	1	249998	110000	598	100
Ministère de l'Intérieur		103146727990	Facebook	d080	2019-03-21	32	1	242233	100588	1262	294
Gestion et Action Libérale		AR201311233196949504	Google	d080	2019-03-21	44	1	214150	0	1070	0
