advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
The Labour Party	The Labour Party	25749647410	Facebook	d016	2019-01-16	12	1	1559991	645000	9787	2584
People's Vote UK	People's Vote	748608695327755	Facebook	d016	2019-01-16	207	1	1012194	351642	19342	2983
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	d016	2019-01-16	30	1	984179	348962	10864	3243
Greenpeace France		39435457457	Facebook	d016	2019-01-16	8	1	727992	311000	6092	1100
Best For Britain	Best for Britain	1863944713844924	Facebook	d016	2019-01-16	35	1	359459	160081	3569	1248
SF Amager KBH		262391220488874	Facebook	d016	2019-01-16	4	1	210996	102000	1432	682
Plan International Sverige		382243262003	Facebook	d016	2019-01-16	81	1	172754	65779	1776	445
Leave Means Leave	Leave Means Leave	1705780739687918	Facebook	d016	2019-01-16	9	1	128330	26666	1250	231
XTB Online Trading		138239466852	Facebook	d016	2019-01-16	4	1	119996	30000	1996	400
Dr Sannas		432084333637525	Facebook	d016	2019-01-16	4	1	101798	20445	942	189
Roberta Metsola		406824526101449	Facebook	d016	2019-01-16	6	1	100553	36472	766	123
Scientists for EU	Scientists for EU	642444842524195	Facebook	d016	2019-01-16	3	1	99998	35000	403	57
Pela Case		119283008140727	Facebook	d016	2019-01-16	2	1	99998	20000	131	0
COP23		1812087282376505	Facebook	d016	2019-01-16	1	1	90909	45454	40	8
European Commission		107898832590939	Facebook	d016	2019-01-16	4	1	86666	41333	439	106
Britain's Future	Britain's Future	1625300137516491	Facebook	d016	2019-01-16	11	1	79282	21344	323	54
Plaid Cymru	Plaid Cymru	26416930992	Facebook	d016	2019-01-16	5	1	78939	20889	750	137
European Greens		141366725876424	Facebook	d016	2019-01-16	1	1	71428	28571	71	14
Nick4Mayor	Nick Forbes for North of Tyne Mayor Campaign	1223209701167500	Facebook	d016	2019-01-16	3	1	69997	20000	343	0
London Labour Party	The London Labour Party 	474613052643462	Facebook	d016	2019-01-16	7	1	59881	24607	241	68
InFacts	InFacts	678120165658753	Facebook	d016	2019-01-16	9	1	58748	12125	461	72
MediaNews		1849142045325091	Facebook	d016	2019-01-16	2	1	54998	11000	198	0
City Index		212613938870867	Facebook	d016	2019-01-16	1	1	49999	10000	114	0
Rory Palmer MEP	Rory Palmer MEP (Labour Member of the European Parliament for the East Midlands, UK) 	1832404216799553	Facebook	d016	2019-01-16	2	1	49999	10000	577	115
Anti-Slavery International		46852258376	Facebook	d016	2019-01-16	1	1	49999	10000	577	115
Noah and Jordan: Comedy Duo		915323881890928	Facebook	d016	2019-01-16	1	1	49999	25000	144	28
350.org		12185972707	Facebook	d016	2019-01-16	10	1	47776	9888	296	44
Harald Vilimsky		547597092025909	Facebook	d016	2019-01-16	4	1	43999	17666	406	80
NT Live	NT Live	107334993856	Facebook	d016	2019-01-16	66	1	43246	13312	566	28
Albioma		2029944603927727	Facebook	d016	2019-01-16	5	1	43118	17948	82	14
Stop Cambio Climático		124967441456981	Facebook	d016	2019-01-16	4	1	41944	17277	66	11
WeWorld Onlus		299584710061488	Facebook	d016	2019-01-16	20	1	41374	10088	1497	2
ABB Formula E		490941397612413	Facebook	d016	2019-01-16	1	1	39999	20000	115	23
38 Degrees	38 Degrees	200006375787	Facebook	d016	2019-01-16	13	1	39352	15618	507	20
Banque mondiale		155174084508744	Facebook	d016	2019-01-16	35	1	37527	16004	64	5
Conor Burns	Conor Burns MP	755981037856291	Facebook	d016	2019-01-16	2	1	37499	7500	201	28
We are the 52%	We are the 52%	466744973727718	Facebook	d016	2019-01-16	4	1	34469	15871	123	22
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d016	2019-01-16	3	1	34269	15396	96	14
Simple Politics		1052029294841900	Facebook	d016	2019-01-16	2	1	32795	13118	75	37
Kaar Kaas Sonn		215255338679306	Facebook	d016	2019-01-16	2	1	32258	12903	5	0
Kinder in Gefahr - DVCK e.V.		556019341220640	Facebook	d016	2019-01-16	1	1	31249	12500	62	31
Sosialidemokraatit SDP		108945982480217	Facebook	d016	2019-01-16	7	1	30056	9833	249	42
Liam Byrne	Liam Byrne MP	147894618876725	Facebook	d016	2019-01-16	2	1	29166	5833	66	0
Johan Van Overtveldt		275607285891320	Facebook	d016	2019-01-16	1	1	27777	11111	55	27
Progress	Progress Ltd	160136337364839	Facebook	d016	2019-01-16	5	1	26998	6150	126	0
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	d016	2019-01-16	1	1	24999	5000	49	0
Birmingham Ladywood Constituency Liberal Democrats	Birmingham Ladywood Liberal Democrats	1059763040824007	Facebook	d016	2019-01-16	1	1	24999	5000	57	0
More United	More United	618113871680733	Facebook	d016	2019-01-16	1	1	24999	5000	57	0
Another Europe Is Possible	Another Europe is Possible	1652149835054791	Facebook	d016	2019-01-16	1	1	24999	5000	288	57
NHS Against Brexit	Scientists for EU	2126073340865034	Facebook	d016	2019-01-16	1	1	24999	5000	288	57
The British Journal of Photography	Ecotricity Group Limited	40055265495	Facebook	d016	2019-01-16	1	1	24999	5000	57	0
Oglinda Timisoarei		1567356746867595	Facebook	d016	2019-01-16	1	1	24999	5000	52	10
Pamura		2202939006594824	Facebook	d016	2019-01-16	1	1	24999	12500	62	12
Lambeth Liberal Democrats	Lambeth Liberal Democrats	670304546481949	Facebook	d016	2019-01-16	3	1	24523	4904	70	0
PD Martin Cauchi Inglott		181379916072401	Facebook	d016	2019-01-16	3	1	24165	6333	132	0
Women for a People's Vote	Women for a People's Vote	235989320458995	Facebook	d016	2019-01-16	8	1	23124	5375	230	28
Geert Bourgeois	Nieuw-Vlaamse Alliantie	649429725077632	Facebook	d016	2019-01-16	2	1	22618	11309	225	113
Fazland		392009187483727	Facebook	d016	2019-01-16	19	1	20399	7880	143	28
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	d016	2019-01-16	9	1	19572	4797	130	9
Le Monde		14892757589	Facebook	d016	2019-01-16	6	1	18388	7344	19	3
Winkler Gyula		1560147330888040	Facebook	d016	2019-01-16	2	1	18181	9090	19	3
West Mercia PCC	West Mercia Police and Crime Commissioner	1569628153271237	Facebook	d016	2019-01-16	1	1	18181	9090	52	10
Wirtschaftskammer		125946327466544	Facebook	d016	2019-01-16	21	1	17211	3654	170	11
Oxfam Great Britain	Oxfam GB	7214031395	Facebook	d016	2019-01-16	5	1	16749	6944	186	35
Bananamia		185686561464778	Facebook	d016	2019-01-16	1	1	16666	8333	16	0
Max Wilkinson	Cheltenham Liberal Democrats	422183454864472	Facebook	d016	2019-01-16	1	1	16666	3333	38	0
Rethink Mental Illness		14676447483	Facebook	d016	2019-01-16	1	1	16666	3333	38	0
Sean Kelly MEP		340786422717552	Facebook	d016	2019-01-16	5	1	16561	4000	105	0
SOS-Kinderdörfer weltweit		56497026719	Facebook	d016	2019-01-16	27	1	13939	6353	89	15
Repression In Paradise - Venezuelan Documentary	Alving Garcia	1313923788706996	Facebook	d016	2019-01-16	2	1	13888	6481	1	0
Liight App		1701876056758068	Facebook	d016	2019-01-16	2	1	13749	2750	49	0
Johann Gudenus		104145976305577	Facebook	d016	2019-01-16	15	1	13359	4219	119	16
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	d016	2019-01-16	37	1	13227	5345	72	5
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	d016	2019-01-16	3	1	13191	6346	137	7
Europees Parlement Nederland		270788920480	Facebook	d016	2019-01-16	1	1	12499	2500	124	25
Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	d016	2019-01-16	1	1	12499	6250	19	3
Anneleen Van Bossuyt		1375436739430055	Facebook	d016	2019-01-16	1	1	12499	6250	124	62
C&A Foundation		1271896626240982	Facebook	d016	2019-01-16	1	1	12499	6250	62	12
Cláudia Monteiro de Aguiar		231164670253617	Facebook	d016	2019-01-16	1	1	12499	2500	24	0
Harmonie & Cinema: Arthouse Kinos Frankfurt		159993250696429	Facebook	d016	2019-01-16	1	1	12499	6250	62	12
Tom Watson	The Labour Party. Promoted by Tom Watson on behalf of Tom Watson	470873686267967	Facebook	d016	2019-01-16	4	1	12498	4000	229	0
Plan International Österreich		115130990779	Facebook	d016	2019-01-16	2	1	12316	6158	61	25
Μαρία Γ. Μισέντου  Case Confidential		265111217441361	Facebook	d016	2019-01-16	4	1	11665	5333	132	0
Covestro		150793518281117	Facebook	d016	2019-01-16	2	1	11494	4597	22	11
Studyintheuk		170953716896026	Facebook	d016	2019-01-16	18	1	10899	2500	176	24
Página Miguel Viegas		194651341130667	Facebook	d016	2019-01-16	2	1	10512	4102	40	6
Take a break from Brexit	TAKE A BREAK FROM BREXIT LTD	297068421070672	Facebook	d016	2019-01-16	5	1	10490	2000	71	0
Hull Liberal Democrats	Hull and Hessle Lib Dems	66719316177	Facebook	d016	2019-01-16	2	1	10475	2095	54	7
Alex and the jewel		1703830116536718	Facebook	d016	2019-01-16	2	1	10199	2000	39	0
Marco Antonio Orsini		395865050792874	Facebook	d016	2019-01-16	1	1	9999	2000	17	0
World Animal Protection Danmark		33588644626	Facebook	d016	2019-01-16	4	1	9635	4077	114	25
Hackney Lib Dems	Hackney Liberal Democrats	138435322972255	Facebook	d016	2019-01-16	2	1	9583	2291	110	19
Sheffield City Region Mayor	Sheffield City Region Mayoral Combined Authority	2064459193832465	Facebook	d016	2019-01-16	5	1	9583	1916	21	0
Eddie Hughes MP	Eddie Hughes & Walsall Conservatives	1544601488897440	Facebook	d016	2019-01-16	2	1	9332	1866	42	0
Ipswich Labour	The Labour Party. Promoted by John Cook on behalf of Ipswich Labour Party	342002108699	Facebook	d016	2019-01-16	4	1	9228	1881	38	0
Play by Play		104897406944750	Facebook	d016	2019-01-16	1	1	9090	4545	8	0
National Theatre		9212864972	Facebook	d016	2019-01-16	5	1	8872	2918	55	18
Linnéa Engström		1409490812643464	Facebook	d016	2019-01-16	6	1	8758	3278	79	8
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d016	2019-01-16	30	1	8431	2338	65	14
Alex Rowley MSP	Alex Rowley MSP	1463126643980071	Facebook	d016	2019-01-16	1	1	8333	1666	19	0
Peterborough Labour Party	The Labour Party	927033024024138	Facebook	d016	2019-01-16	1	1	8333	1666	96	19
Better Brexit	Better Brexit	456823584822825	Facebook	d016	2019-01-16	3	1	7998	3000	171	0
RBG		176384002963085	Facebook	d016	2019-01-16	3	1	7998	3000	171	0
Josef Caruana		166617437361908	Facebook	d016	2019-01-16	2	1	7993	2633	26	3
Tower Hamlets Council	Tower Hamlets Council	848352765192315	Facebook	d016	2019-01-16	2	1	7692	1538	17	0
Martyn Day MP	Martyn Day	288109744732656	Facebook	d016	2019-01-16	3	1	7498	1500	171	0
Socios Cruz Roja		306840072990831	Facebook	d016	2019-01-16	16	1	7417	1909	73	13
KATHARINE HAMNETT		322018314523210	Facebook	d016	2019-01-16	1	1	7407	3703	42	21
Animal Equality UK		2047806148766050	Facebook	d016	2019-01-16	3	1	7357	3678	65	32
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	d016	2019-01-16	1	1	7142	1428	14	0
Bang The Desk. Change The Curriculum.	Emily Jane Hermione Polling	711278115919765	Facebook	d016	2019-01-16	1	1	7142	1428	16	0
The Week UK	The Week	177855115588808	Facebook	d016	2019-01-16	3	1	6997	1000	343	0
Collective Encounters	Collective Encounters	1575664069358718	Facebook	d016	2019-01-16	2	1	6916	1583	21	0
Nyugdíjmegoldás 2020		1258419857503263	Facebook	d016	2019-01-16	2	1	6874	1375	22	0
EIT InnoEnergy		344038838945608	Facebook	d016	2019-01-16	4	1	6838	2717	9	1
Carmine Pacente	Carmelo Iannicelli	218066501942820	Facebook	d016	2019-01-16	2	1	6666	3333	66	0
SPÖ	SPÖ	77393060080	Facebook	d016	2019-01-16	3	1	6611	2892	53	13
UNO-Flüchtlingshilfe		236934790401	Facebook	d016	2019-01-16	1	1	6578	2631	65	13
Andrew Western	The Labour Party	319905135091382	Facebook	d016	2019-01-16	4	1	6321	1571	23	0
We Believe in Israel	We Believe in Israel	191388894239685	Facebook	d016	2019-01-16	1	1	6249	1250	72	14
Fratii Haiduc Music Events		686571504711148	Facebook	d016	2019-01-16	1	1	6249	1250	2	0
