day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d146	2019-05-26	DK	Denmark	2326	347	11551245	3703440	129149	32343
d145	2019-05-25	DK	Denmark	2369	373	12237569	3956054	146513	36761
d144	2019-05-24	DK	Denmark	2346	388	12596116	4140025	151634	38042
d143	2019-05-23	DK	Denmark	1992	371	9930337	3328930	118584	30758
d142	2019-05-22	DK	Denmark	1817	359	8490353	2689920	93496	24272
d141	2019-05-21	DK	Denmark	1372	316	6020401	1907973	69224	18104
d140	2019-05-20	DK	Denmark	984	260	4460916	1313403	46942	11698
d139	2019-05-19	DK	Denmark	548	172	2158641	656888	24186	6271
d138	2019-05-18	DK	Denmark	309	114	1044408	346351	12936	3225
d137	2019-05-17	DK	Denmark	140	51	286670	76395	3160	687
d136	2019-05-16	DK	Denmark	36	2	77997	17049	983	198
d135	2019-05-15	DK	Denmark	36	2	77997	17049	983	198
d134	2019-05-14	DK	Denmark	44	2	90496	20674	1077	236
d133	2019-05-13	DK	Denmark	44	2	90496	20674	1077	236
d132	2019-05-12	DK	Denmark	44	2	90496	20674	1077	236
d131	2019-05-11	DK	Denmark	44	2	90496	20674	1077	236
d130	2019-05-10	DK	Denmark	44	2	90496	20674	1077	236
d129	2019-05-09	DK	Denmark	44	2	90496	20674	1077	236
d128	2019-05-08	DK	Denmark	44	2	90496	20674	1077	236
d127	2019-05-07	DK	Denmark	44	2	90496	20674	1077	236
d109	2019-04-19	DK	Denmark	2	1	25249	12499	170	33
d108	2019-04-18	DK	Denmark	2	1	25249	12499	170	33
d107	2019-04-17	DK	Denmark	2	1	25249	12499	170	33
d106	2019-04-16	DK	Denmark	2	1	25249	12499	170	33
