advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
eToro		193863317737	Facebook	d037	2019-02-06	8	1	1100992	470000	3286	890
Britain's Future	Britain's Future	1625300137516491	Facebook	d037	2019-02-06	151	1	551405	254758	4238	516
Solvari België		118790941561498	Facebook	d037	2019-02-06	2	1	549998	210000	5498	1100
Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	d037	2019-02-06	1	1	499999	200000	619	309
We are the 52%	We are the 52%	466744973727718	Facebook	d037	2019-02-06	17	1	336424	132178	1014	148
Rädda Barnen		72659261793	Facebook	d037	2019-02-06	8	1	269992	57000	2499	527
Chris Green	Chris Green MP	249684318543741	Facebook	d037	2019-02-06	7	1	212066	75214	2564	810
Kialo		729627343834501	Facebook	d037	2019-02-06	1	1	199999	100000	444	89
WWF Suomi		119054448115588	Facebook	d037	2019-02-06	1	1	199999	100000	499	100
Entega		198244400189055	Facebook	d037	2019-02-06	11	1	129989	28000	1889	200
Conservatives	The Conservative Party	8807334278	Facebook	d037	2019-02-06	139	1	126491	52057	998	133
38 Degrees	38 Degrees	200006375787	Facebook	d037	2019-02-06	24	1	110446	42328	882	80
Enel Group		108341445894	Facebook	d037	2019-02-06	2	1	109999	42000	219	100
Vereniging Eigen Huis		371735371563	Facebook	d037	2019-02-06	7	1	107140	43804	735	180
Greenpeace Belgium		73232790238	Facebook	d037	2019-02-06	1	1	99999	50000	499	100
Pela Case		119283008140727	Facebook	d037	2019-02-06	2	1	99998	20000	131	0
People's Vote UK	People's Vote	748608695327755	Facebook	d037	2019-02-06	48	1	62102	14357	697	23
Sheffield City Region Mayor	Sheffield City Region Mayoral Combined Authority	2064459193832465	Facebook	d037	2019-02-06	5	1	61805	23472	657	128
The News Dump	The News Dump	210909392847421	Facebook	d037	2019-02-06	3	1	59997	12000	343	0
Harald Vilimsky		547597092025909	Facebook	d037	2019-02-06	4	1	55454	20454	554	109
Scientists for EU	Scientists for EU	642444842524195	Facebook	d037	2019-02-06	3	1	53860	13211	622	124
EU Watch	EU Watch	136146920436020	Facebook	d037	2019-02-06	9	1	53332	22916	364	53
Soluzione Tasse		1678747585696511	Facebook	d037	2019-02-06	4	1	52996	10000	396	0
Partito del Socialismo Europeo	Partito del Socialismo Europeo	1891926127734235	Facebook	d037	2019-02-06	3	1	50998	10200	118	0
London Labour Party	The London Labour Party 	474613052643462	Facebook	d037	2019-02-06	7	1	50699	16500	421	79
