country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	w020	Week 20	2019-05-13	2019-05-15	218	49	2302692	721329	11021	886
CY	Cyprus	w019	Week 19	2019-05-06	2019-05-12	343	66	7665701	2550586	34367	4048
CY	Cyprus	w018	Week 18	2019-04-29	2019-05-05	268	67	2737277	757000	8814	229
CY	Cyprus	w017	Week 17	2019-04-22	2019-04-28	205	68	1350208	395065	5659	246
CY	Cyprus	w016	Week 16	2019-04-15	2019-04-21	245	88	981984	287793	4034	57
CY	Cyprus	w015	Week 15	2019-04-08	2019-04-14	398	136	1334992	423304	5859	285
CY	Cyprus	w014	Week 14	2019-04-01	2019-04-07	380	144	1591298	511235	5336	282
CY	Cyprus	w013	Week 13	2019-03-25	2019-03-31	314	144	2980905	1157150	14407	2135
CY	Cyprus	w012	Week 12	2019-03-18	2019-03-24	267	113	1164472	438474	5963	795
CY	Cyprus	w011	Week 11	2019-03-11	2019-03-17	172	75	1174420	392017	4757	373
CY	Cyprus	w010	Week 10	2019-03-04	2019-03-10	137	70	1109361	403123	3950	234
CY	Cyprus	w009	Week 9	2019-02-25	2019-03-03	84	42	340291	95721	918	13
CY	Cyprus	w008	Week 8	2019-02-18	2019-02-24	47	26	209479	57485	679	55
CY	Cyprus	w007	Week 7	2019-02-11	2019-02-17	36	20	71930	15065	155	4
CY	Cyprus	w006	Week 6	2019-02-04	2019-02-10	27	14	16673	8152	80	16
CY	Cyprus	w005	Week 5	2019-01-28	2019-02-03	49	18	36392	14241	111	38
CY	Cyprus	w004	Week 4	2019-01-21	2019-01-27	39	18	18789	8797	83	8
CY	Cyprus	w003	Week 3	2019-01-14	2019-01-20	28	14	7249	3295	48	7
CY	Cyprus	w002	Week 2	2019-01-07	2019-01-13	21	12	6521	3174	44	6
CY	Cyprus	w001	Week 1	2019-01-01	2019-01-06	20	8	2357	1008	16	1
