advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	65_	65+	RO	Romania	83	1	3759542	1663706	8243	2401
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	65_	65+	RO	Romania	115	1	2552076	1058557	4877	1310
România în primul rând	Future Innovation	770704223323599	Facebook	65_	65+	RO	Romania	77	1	2013037	883128	2859	657
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	65_	65+	RO	Romania	63	1	963780	452542	4277	897
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	65_	65+	RO	Romania	38	1	952766	465578	4287	1025
RMDSZ	RMDSZ	102601499822802	Facebook	65_	65+	RO	Romania	203	1	882391	265279	1445	257
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	65_	65+	RO	Romania	25	1	865097	415038	1277	332
George Simion		2212856535602171	Facebook	65_	65+	RO	Romania	26	1	546952	224358	1153	305
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	65_	65+	RO	Romania	21	1	526425	256418	2029	545
Winkler Gyula		1560147330888040	Facebook	65_	65+	RO	Romania	15	1	423578	186783	531	144
European Parliament		178362315106	Facebook	65_	65+	RO	Romania	52	1	409202	197513	2230	400
Romania #nuepsd	Future Innovation	293215748279337	Facebook	65_	65+	RO	Romania	34	1	391289	178791	261	114
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	65_	65+	RO	Romania	37	1	339520	157123	796	225
Litere.net	litere.net	1504323906337545	Facebook	65_	65+	RO	Romania	10	1	235357	106860	195	40
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	65_	65+	RO	Romania	22	1	224444	95871	956	223
Kelemen Hunor	RMDSZ	175293925828191	Facebook	65_	65+	RO	Romania	36	1	187925	44118	311	51
Gregoriana Tudoran		1985293741779690	Facebook	65_	65+	RO	Romania	25	1	187802	50466	277	47
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	65_	65+	RO	Romania	13	1	177823	69889	281	55
Politice.net	politice.net	2546711162025064	Facebook	65_	65+	RO	Romania	12	1	168754	78135	168	32
Video News		329122497569429	Facebook	65_	65+	RO	Romania	5	1	166394	66828	208	52
Traian Băsescu		361235817223309	Facebook	65_	65+	RO	Romania	9	1	165709	69497	145	21
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	65_	65+	RO	Romania	18	1	159499	74453	151	28
Eco friendly home		547824632336134	Facebook	65_	65+	RO	Romania	3	1	152691	69556	157	58
Daniel Buda	Buda Daniel	220579784732993	Facebook	65_	65+	RO	Romania	41	1	146552	39989	168	0
ALDE Sector 6		428872677299268	Facebook	65_	65+	RO	Romania	57	1	138748	36385	354	41
