advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	0_1k	0 - 1k	SK	Slovakia	834	1	833165	0	82565	0
Eurovoľby	Richard Sulik	2376963545647566	Facebook	0_1k	0 - 1k	SK	Slovakia	126	1	125873	0	12473	0
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	0_1k	0 - 1k	SK	Slovakia	68	1	67611	0	6700	0
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	0_1k	0 - 1k	SK	Slovakia	59	1	58940	0	5840	0
Netky.sk		364139677032739	Facebook	0_1k	0 - 1k	SK	Slovakia	58	1	57942	0	5742	0
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	0_1k	0 - 1k	SK	Slovakia	49	1	48921	0	4848	0
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	0_1k	0 - 1k	SK	Slovakia	45	1	44878	0	4447	0
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	0_1k	0 - 1k	SK	Slovakia	42	1	41930	0	4155	0
Martin Lancz - kandidát na europoslanca 2019	 Švec František	2671787962847811	Facebook	0_1k	0 - 1k	SK	Slovakia	38	1	37961	0	3761	0
Miroslav Žiak		396331590493376	Facebook	0_1k	0 - 1k	SK	Slovakia	24	1	23976	0	2376	0
Lucia Nicholsonová verí v zdravý rozum	Richard Sulik	714437508635046	Facebook	0_1k	0 - 1k	SK	Slovakia	24	1	23976	0	2376	0
Miriam Kuzárová, kandidátka do Európskeho parlamentu	KDH	137416183351336	Facebook	0_1k	0 - 1k	SK	Slovakia	23	1	22956	0	2274	0
Richard Sulik	Richard Sulik	184760561603680	Facebook	0_1k	0 - 1k	SK	Slovakia	19	1	18981	0	1881	0
NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	0_1k	0 - 1k	SK	Slovakia	18	1	17982	0	1782	0
Marcel Vrchota		182696648478744	Facebook	0_1k	0 - 1k	SK	Slovakia	18	1	17982	0	1629	0
Sloboda a Solidarita	Richard Sulik	71030757230	Facebook	0_1k	0 - 1k	SK	Slovakia	17	1	16983	0	1682	0
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	0_1k	0 - 1k	SK	Slovakia	17	1	16982	0	1682	0
European Parliament		178362315106	Facebook	0_1k	0 - 1k	SK	Slovakia	18	1	16982	0	1682	0
Dominik Hatiar • Mladí za lepšiu Európu		1795556150546258	Facebook	0_1k	0 - 1k	SK	Slovakia	16	1	15973	0	1582	0
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	0_1k	0 - 1k	SK	Slovakia	15	1	14985	0	1485	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	0_1k	0 - 1k	SK	Slovakia	15	1	14938	0	1480	0
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	0_1k	0 - 1k	SK	Slovakia	14	1	13985	0	1385	0
Krajská organizácia SMER - SD Košice	strana-smer.sk	394347701414382	Facebook	0_1k	0 - 1k	SK	Slovakia	13	1	12987	0	1287	0
Braňo Gigac	Gigac Branislav	1293379587429941	Facebook	0_1k	0 - 1k	SK	Slovakia	11	1	10988	0	1088	0
Peter Puškár	Puskar Peter	299027620531773	Facebook	0_1k	0 - 1k	SK	Slovakia	10	1	9990	0	990	0
