recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	IT	Italy	2014	501	10664252	4000193	54493	5611
rd2	Last 2 days	2019-05-12	2019-05-13	IT	Italy	2447	565	23999780	8900000	125046	12459
rd3	Last 3 days	2019-05-11	2019-05-13	IT	Italy	2732	612	37738934	13856914	194904	18968
rd4	Last 4 days	2019-05-10	2019-05-13	IT	Italy	3049	670	51248305	18605858	268938	25601
rd5	Last 5 days	2019-05-09	2019-05-13	IT	Italy	3301	707	63790888	23025768	331758	31401
rd6	Last 6 days	2019-05-08	2019-05-13	IT	Italy	3573	730	77421372	27959699	394389	40334
rw1	Last week	2019-05-07	2019-05-13	IT	Italy	3783	760	88453952	31949752	447800	46664
rw2	Last 2 weeks	2019-04-30	2019-05-13	IT	Italy	5320	1085	147413888	53446456	740358	82993
rw3	Last 3 weeks	2019-04-23	2019-05-13	IT	Italy	6130	1352	177100288	64557597	871555	99631
rw4	Last 4 weeks	2019-04-16	2019-05-13	IT	Italy	7050	1763	192629370	69971873	965086	108080
rm1	Last month	2019-04-14	2019-05-13	IT	Italy	7509	1948	198957845	72094242	1001811	110049
rm2	Last 2 months	2019-03-15	2019-05-13	IT	Italy	13392	4110	324695705	116899818	1672546	169276
rm3	Last 3 months	2019-02-13	2019-05-13	IT	Italy	15222	4630	379325141	137194275	1941157	196819
rm6	Last 6 months	2019-01-01	2019-05-13	IT	Italy	16052	4715	396577706	143395794	2054170	208659
