recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	ES	Spain	1988	105	1463527	424215	38321	557
rd2	Last 2 days	2019-05-06	2019-05-07	ES	Spain	2061	119	4704858	1534084	86888	2853
rd3	Last 3 days	2019-05-05	2019-05-07	ES	Spain	2385	133	6466133	2032138	137467	3715
rd4	Last 4 days	2019-05-04	2019-05-07	ES	Spain	2444	148	7811447	2471923	161055	4456
rd5	Last 5 days	2019-05-03	2019-05-07	ES	Spain	2542	170	10464534	3326539	188502	5507
rd6	Last 6 days	2019-05-02	2019-05-07	ES	Spain	2595	192	12098430	3891204	208539	6458
rw1	Last week	2019-05-01	2019-05-07	ES	Spain	2643	210	13390160	4336466	227876	7373
rw2	Last 2 weeks	2019-04-24	2019-05-07	ES	Spain	9805	434	204290541	79771552	1714315	243043
rw3	Last 3 weeks	2019-04-17	2019-05-07	ES	Spain	14905	571	355695753	135613126	2748916	374822
rw4	Last 4 weeks	2019-04-10	2019-05-07	ES	Spain	17070	823	435272416	165112756	3200045	440422
rm1	Last month	2019-04-08	2019-05-07	ES	Spain	17314	912	442919406	168449532	3248753	449444
rm2	Last 2 months	2019-03-09	2019-05-07	ES	Spain	19675	1532	478740714	182323424	3469889	471953
rm3	Last 3 months	2019-02-07	2019-05-07	ES	Spain	20403	1635	490532092	187087852	3541341	481643
rm6	Last 6 months	2019-01-01	2019-05-07	ES	Spain	20820	1680	495527313	188826035	3576739	484519
