advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	u	unknown	SI	Slovenia	43	1	43872	18870	184	50
Evropski parlament Slovenija	Evropski parlament Slovenija	183314631692914	Facebook	u	unknown	SI	Slovenia	138	1	23036	6816	135	6
European Greens		141366725876424	Facebook	u	unknown	SI	Slovenia	41	1	17611	8215	65	20
Romana Tomc		1025408990823719	Facebook	u	unknown	SI	Slovenia	24	1	8412	1881	23	0
SDS - Slovenska demokratska stranka	SDS - Slovenska demokratska stranka	30790585231	Facebook	u	unknown	SI	Slovenia	40	1	8380	2915	33	2
Kialo		729627343834501	Facebook	u	unknown	SI	Slovenia	330	1	8203	3375	48	12
Socialni demokrati (SD)	Socialni demokrati (SD)	12676777580	Facebook	u	unknown	SI	Slovenia	96	1	6456	1662	75	0
Franc Bogovič		288826994603012	Facebook	u	unknown	SI	Slovenia	12	1	6331	2489	17	2
Stranka LMŠ	Stranka LMŠ	1688472281270558	Facebook	u	unknown	SI	Slovenia	20	1	5461	1239	25	1
Milan Zver	SDS - Slovenska demokratska stranka	279397488827904	Facebook	u	unknown	SI	Slovenia	25	1	4945	1730	20	1
Lumar hiše		117782661584893	Facebook	u	unknown	SI	Slovenia	2	1	4590	2295	22	4
Urša Zgojznik	Lista Povežimo se	2264632877141356	Facebook	u	unknown	SI	Slovenia	14	1	2964	877	16	0
Siemens Slovenija		393074441061448	Facebook	u	unknown	SI	Slovenia	11	1	2764	551	10	0
Evropska komisija v Sloveniji		100107313369390	Facebook	u	unknown	SI	Slovenia	1	1	2256	1128	5	1
Neva Grašič		2235496013147745	Facebook	u	unknown	SI	Slovenia	13	1	1854	427	9	0
Tanja Fajon	Socialni demokrati (SD)	73452413740	Facebook	u	unknown	SI	Slovenia	6	1	1694	335	4	0
SAB - Stranka Alenke Bratušek		242210245976248	Facebook	u	unknown	SI	Slovenia	4	1	1359	410	3	0
Patricija Šulin		1541413339429015	Facebook	u	unknown	SI	Slovenia	9	1	1152	488	8	0
Janez Janša	SDS - Slovenska demokratska stranka	32585228571	Facebook	u	unknown	SI	Slovenia	4	1	1012	409	5	1
DOM - Domovinska liga		571044543390810	Facebook	u	unknown	SI	Slovenia	8	1	951	261	5	0
Sensilab.si		384202598293956	Facebook	u	unknown	SI	Slovenia	3	1	887	174	3	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	u	unknown	SI	Slovenia	54	1	730	321	1	0
Greenpeace Slovenija		195508530477478	Facebook	u	unknown	SI	Slovenia	10	1	698	138	16	0
NSi		111314452327761	Facebook	u	unknown	SI	Slovenia	1	1	672	134	1	0
Pravična trgovina Slovenija	Zavod za pravično trgovino, 3MUHE	526186704085625	Facebook	u	unknown	SI	Slovenia	16	1	669	53	45	0
