advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	m	male	RO	Romania	237	1	26935175	12022955	67517	15200
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	RO	Romania	100	1	25039084	11403385	60405	17049
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m	male	RO	Romania	144	1	15861102	6831781	25664	6638
România în primul rând	Future Innovation	770704223323599	Facebook	m	male	RO	Romania	88	1	14711788	6483961	13870	3613
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	m	male	RO	Romania	86	1	7884572	3431836	27825	6594
Romania #nuepsd	Future Innovation	293215748279337	Facebook	m	male	RO	Romania	34	1	6699234	3085454	4365	1845
European Parliament		178362315106	Facebook	m	male	RO	Romania	89	1	6066720	2787990	29819	5831
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	m	male	RO	Romania	38	1	4957439	2247225	7115	1781
RMDSZ	RMDSZ	102601499822802	Facebook	m	male	RO	Romania	252	1	4116566	1218629	6217	1119
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	m	male	RO	Romania	39	1	3985191	1853874	11939	3076
European Commission		107898832590939	Facebook	m	male	RO	Romania	13	1	3816520	1898921	9560	2578
Declic	Declic	686190454826244	Facebook	m	male	RO	Romania	27	1	2426748	991544	4681	1021
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	m	male	RO	Romania	22	1	2168795	993318	2245	536
Kialo		729627343834501	Facebook	m	male	RO	Romania	271	1	2136499	853713	11436	2626
Politice.net	politice.net	2546711162025064	Facebook	m	male	RO	Romania	12	1	2096912	1011182	1974	415
Litere.net	litere.net	1504323906337545	Facebook	m	male	RO	Romania	12	1	1980424	928360	1705	411
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	m	male	RO	Romania	25	1	1961797	889722	7510	2134
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	m	male	RO	Romania	14	1	1815611	758036	2010	400
Silvia Dinică		1128229287275038	Facebook	m	male	RO	Romania	21	1	1699886	675008	2974	701
Traian Băsescu	Partidul Mișcarea Populară	361235817223309	Facebook	m	male	RO	Romania	15	1	1656312	672717	1553	255
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m	male	RO	Romania	50	1	1399312	648781	3093	794
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	RO	Romania	45	1	1269334	499538	2013	359
Winkler Gyula		1560147330888040	Facebook	m	male	RO	Romania	23	1	1230857	533444	1553	388
Vasile Cristian Lungu - Senator PMP	Partidul Mișcarea Populară	167669676772029	Facebook	m	male	RO	Romania	19	1	1187418	568719	5813	1289
Video News		329122497569429	Facebook	m	male	RO	Romania	5	1	1178365	484118	1118	354
