spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	215266	24914	2150930371	507105124	17300933	143664
50_100	50 - 100	195699	22092	339597526	90774923	1807900	177465
100_1k	100 - 1k	72371	7676	2570553863	1030308534	13524185	3296964
1k_5k	1k - 5k	2979	598	1016000887	463394135	8592504	1978733
5k_10k	5k - 10k	476	112	97967318	45666956	1276855	385298
10k_50k	10k - 50k	36	17	21774738	10683338	472976	152150
50k_100k	50k - 100k	1	1	339972	169986	19670	3934
