region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
attica_region	Attica (region)	EL	Greece	5990	1138	52292221	18862728	227429	20726
central_greece_region	Central Greece (region)	EL	Greece	4335	825	1083529	322714	7929	194
central_macedonia	Central Macedonia	EL	Greece	4990	973	13648155	4610480	63263	3307
crete	Crete	EL	Greece	4147	815	4357099	1475876	15628	593
eastern_macedonia_and_thrace	Eastern Macedonia and Thrace	EL	Greece	4012	783	4709283	1507383	20322	679
epirus_region	Epirus (region)	EL	Greece	3936	777	2563710	666536	12177	375
ionian_islands_region	Ionian Islands (region)	EL	Greece	3796	768	261340	69375	962	23
northern_aegean	Northern Aegean	EL	Greece	3660	724	368807	113751	2461	47
peloponnese_region	Peloponnese (region)	EL	Greece	4040	790	2421795	638034	14901	200
southern_aegean	Southern Aegean	EL	Greece	3997	799	4392203	1303250	13327	636
thessaly	Thessaly	EL	Greece	4192	827	2753626	934968	14202	438
western_greece	Western Greece	EL	Greece	4201	811	3679637	1086046	22538	418
western_macedonia	Western Macedonia	EL	Greece	3609	701	564574	189611	3235	161
