country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PL	Poland	m18_24	male (18-24)	6119	1445	23414156	8948003	61631	12510
PL	Poland	m25_34	male (25-34)	6871	1591	21568887	8267003	64434	13100
PL	Poland	f18_24	female (18-24)	6349	1475	20305831	7932137	50908	11148
PL	Poland	f25_34	female (25-34)	7155	1630	15880188	6205983	44388	9072
PL	Poland	m35_44	male (35-44)	6832	1572	14869211	5432503	44084	8469
PL	Poland	f35_44	female (35-44)	7134	1610	14312727	5248500	40215	7893
PL	Poland	f55_64	female (55-64)	6096	1415	11245799	3648409	35636	5905
PL	Poland	f45_54	female (45-54)	6866	1536	10066697	3509697	30047	5587
PL	Poland	m45_54	male (45-54)	6574	1501	8859035	3087189	27412	4947
PL	Poland	f65_	female (65+)	5076	1234	7069693	2236104	22594	3671
PL	Poland	m55_64	male (55-64)	5853	1384	6180737	2022523	19453	3132
PL	Poland	m65_	male (65+)	4884	1219	4304991	1404809	13426	2189
PL	Poland	f13_17	female (13-17)	815	258	2314650	835292	4107	448
PL	Poland	m13_17	male (13-17)	777	249	1703176	616719	3187	367
PL	Poland	u35_44	unknown (35-44)	5251	1312	180097	65130	634	121
PL	Poland	u25_34	unknown (25-34)	4617	1225	115587	43077	429	86
PL	Poland	u18_24	unknown (18-24)	3509	1003	61299	21673	223	42
PL	Poland	u45_54	unknown (45-54)	4340	1133	59028	21015	219	42
PL	Poland	u65_	unknown (65+)	3104	914	35900	11789	121	19
PL	Poland	u55_64	unknown (55-64)	3193	926	26298	8812	87	14
PL	Poland	u13_17	unknown (13-17)	444	193	6303	2254	15	1
