media_code	media_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
image	Image	13901	77	2025950000	191000000	4730900	89300
video	Video	6287	86	667850000	61470000	6472750	236800
text	Text	2738	73	88760000	6320000	3075750	92550
