advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sloboda a Solidarita		AR242125929453715456	Google	video	Video	27	1	900000	70000	3150	200
Hämeen Uusi Suunta ry		AR330633591832707072	Google	video	Video	18	1	900000	80000	64400	1400
Flamesite s.r.o.		AR522320249995919360	Google	video	Video	24	1	600000	40000	3000	200
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	video	Video	5	1	500000	50000	2500	250
Fianna Fáil		AR101183107301900288	Google	video	Video	17	1	440000	30000	2650	200
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	video	Video	4	1	400000	40000	2000	200
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	video	Video	4	1	400000	40000	2000	200
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	video	Video	8	1	350000	30000	2650	250
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	video	Video	17	1	260000	10000	2200	150
Vapaus ry		AR124593908880506880	Google	video	Video	6	1	240000	20000	300	0
Avante Comunicación SL		AR486291452976955392	Google	video	Video	15	1	240000	10000	1200	50
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	video	Video	5	1	230000	20000	1150	100
Projekt Európa		AR303746959120793600	Google	video	Video	3	1	210000	20000	1050	100
HLAS		AR312619193323225088	Google	video	Video	3	1	210000	20000	600	50
Open VLD		AR350212320510607360	Google	video	Video	21	1	210000	0	1050	0
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	video	Video	16	1	160000	0	800	0
Liberal Alliance Djursland		AR73057599863390208	Google	video	Video	5	1	140000	10000	700	50
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	video	Video	4	1	130000	10000	650	50
Morten Dahlin		AR273707476816232448	Google	video	Video	4	1	130000	10000	650	50
EUpositive.sk		AR348804120993333248	Google	video	Video	4	1	130000	10000	650	50
Tampereen Vihreät ry		AR4096230569279488	Google	video	Video	13	1	130000	0	650	0
COALICIO COMPROMIS:BLOC-INICIATIVA-VERDS		AR564955737508282368	Google	video	Video	3	1	120000	10000	600	50
Jukka Kopra		AR232680299937398784	Google	video	Video	2	1	110000	10000	30050	500
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	video	Video	2	1	110000	10000	550	50
Michael Aastrup Jensen		AR92226485582036992	Google	video	Video	2	1	110000	10000	550	50
Kommuneforeningen for Venstre i Haderslev Kommune		AR314183523491643392	Google	video	Video	2	1	110000	10000	100	0
SPD Berlin		AR257142234632159232	Google	video	Video	1	1	100000	10000	30000	500
Mediabrands Digital OÜ		AR530356305605427200	Google	video	Video	1	1	100000	10000	500	50
Eesti Reformierakond		AR547139251091800064	Google	video	Video	1	1	100000	10000	500	50
W.R.P.R., s.r.o.		AR111802190602960896	Google	video	Video	1	1	100000	10000	500	50
Freie Demokratische Partei (FDP)		AR134039538396823552	Google	video	Video	1	1	100000	10000	500	50
Janika Takatalo		AR113027046556303360	Google	video	Video	9	1	90000	0	900	50
Saku Petteri Räty		AR196651502918434816	Google	video	Video	4	1	40000	0	200	0
ADDO DIGITAL IKE		AR15516582969081856	Google	video	Video	2	1	20000	0	100	0
Det Konservative Folkeparti		AR40969452518375424	Google	video	Video	2	1	20000	0	100	0
Ioannis Vardakastanis		AR122780539328397312	Google	video	Video	1	1	10000	0	50	0
GroenLinks		AR148211418645135360	Google	video	Video	1	1	10000	0	50	0
MPhilms		AR260140327963197440	Google	video	Video	1	1	10000	0	50	0
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	video	Video	1	1	10000	0	50	0
