advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	50_100	50 - 100	HR	Croatia	12	1	279861	130865	1127	221
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	50_100	50 - 100	HR	Croatia	8	1	175624	84978	570	110
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	50_100	50 - 100	HR	Croatia	6	1	46078	9442	382	73
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	50_100	50 - 100	HR	Croatia	1	1	41484	20742	184	36
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	50_100	50 - 100	HR	Croatia	16	1	4980	2023	4	0
Valter Flego	IDS - Istarski Demokratski Sabor	441675022557503	Facebook	50_100	50 - 100	HR	Croatia	18	1	3336	1329	5	0
Slobodna Dalmacija	Slobodna Dalmacija	100267330025110	Facebook	50_100	50 - 100	HR	Croatia	25	1	3078	911	7	0
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	50_100	50 - 100	HR	Croatia	18	1	3044	1269	5	0
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	50_100	50 - 100	HR	Croatia	17	1	2371	575	5	0
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	50_100	50 - 100	HR	Croatia	24	1	1696	410	7	0
Joško Klisović	Klisovic Josko	1262594650584725	Facebook	50_100	50 - 100	HR	Croatia	16	1	1403	392	4	0
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	50_100	50 - 100	HR	Croatia	12	1	1369	311	3	0
Zelena lista		157025101623973	Facebook	50_100	50 - 100	HR	Croatia	6	1	1360	491	19	0
Mladež HDZ	HDZ - Hrvatska demokratska zajednica	426737060720348	Facebook	50_100	50 - 100	HR	Croatia	14	1	1344	286	4	0
Model European Union Zagreb - MEUZ	Divea Studio	521874817895935	Facebook	50_100	50 - 100	HR	Croatia	5	1	1245	529	1	0
Ruža Kovačević Bilić	Hrvatska narodna stranka - liberalni demokrati (HNS)	2268602929863854	Facebook	50_100	50 - 100	HR	Croatia	7	1	1245	342	2	0
Gong	Gong	135611546456409	Facebook	50_100	50 - 100	HR	Croatia	4	1	1133	453	13	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	50_100	50 - 100	HR	Croatia	9	1	980	196	2	0
Željana Zovko	HDZ - Hrvatska demokratska zajednica	1203134436474667	Facebook	50_100	50 - 100	HR	Croatia	18	1	883	180	5	0
Marijana Petir	Marijana Petir	1418903245032313	Facebook	50_100	50 - 100	HR	Croatia	7	1	811	171	2	0
Danijel Marušić	HDZ - Hrvatska demokratska zajednica	215152641879933	Facebook	50_100	50 - 100	HR	Croatia	4	1	778	249	1	0
BIOM	BIOM	138743669505642	Facebook	50_100	50 - 100	HR	Croatia	9	1	734	174	2	0
Ruža Tomašić	Tomasic Ruza	1434305366791182	Facebook	50_100	50 - 100	HR	Croatia	20	1	694	171	6	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	50_100	50 - 100	HR	Croatia	1	1	622	311	0	0
SNAGA - Stranka narodnog i građanskog aktivizma	SNAGA - stranka narodnog i građanskog aktivizma	309273389409125	Facebook	50_100	50 - 100	HR	Croatia	11	1	622	227	3	0
