location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	51297	4800	776889238	264485155	9742825	1317411
flemish_region_BE	Flemish Region, Belgium	9855	1748	225295304	86818775	1491357	265575
andalusia_ES	Andalusia, Spain	9827	1300	106849073	41099591	678467	101548
cataluna_ES	Cataluña, Spain	9457	1405	98887648	39496736	606613	101529
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	23717	2254	89516527	28233042	902086	87459
attica_region_EL	Attica (region), Greece	5990	1138	86340977	32201475	344256	36561
vienna_AT	Vienna, Austria	8430	1127	75095597	26200816	669112	99162
comunidad_valenciana_ES	Comunidad Valenciana, Spain	9326	1242	72731614	28560422	423773	71029
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	8734	1278	68154950	27568383	414897	71004
lombardia_IT	Lombardia, Italy	10573	2782	64978988	23776993	342995	38302
wallonia_BE	Wallonia, Belgium	6902	1548	58924736	21990107	399133	65354
baden_wurttemberg_DE	Baden-Württemberg, Germany	23835	2191	56085603	17635684	645823	52361
scotland_UK	Scotland, United Kingdom	20388	2234	54990763	19363906	608991	91462
ile_de_france_FR	Île-de-France, France	9217	2306	50955319	19396303	421136	70328
wales_UK	Wales, United Kingdom	22727	2313	49323880	16688928	579727	81501
bayern_DE	Bayern, Germany	22732	2167	48229956	16187632	536274	54159
lazio_IT	Lazio, Italy	9387	2465	47495915	17293551	241306	27828
brussels_BE	Brussels, Belgium	7916	1582	45239748	16512668	382211	64281
budapest_HU	Budapest, Hungary	3894	872	43639261	17802933	113673	35110
bucharest_RO	Bucharest, Romania	4122	890	42222276	17679964	100273	22612
campania_IT	Campania, Italy	8826	2209	42012322	15746342	198547	22814
stockholm_county_SE	Stockholm County, Sweden	7707	1238	40544526	13778906	325767	80023
piedmont_IT	Piedmont, Italy	9587	2420	37567339	13516631	197389	22813
central_macedonia_EL	Central Macedonia, Greece	4990	973	35216151	12997924	133979	12466
sicilia_IT	Sicilia, Italy	8317	2117	35061648	13071132	166591	19630
niedersachsen_DE	Niedersachsen, Germany	21916	1930	34302168	10547722	365799	30071
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	6938	1139	34186024	10410712	325163	76789
masovian_voivodeship_PL	Masovian Voivodeship, Poland	4786	1127	33677702	12339782	123876	25600
emilia_romagna_IT	Emilia-Romagna, Italy	9542	2490	33513337	11846096	196836	18073
islas_canarias_ES	Islas Canarias, Spain	7469	1124	32458364	12033906	192072	26173
