location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	51297	4800	776889238	264485155	9742825	1317411
flemish_region_BE	Flemish Region, Belgium	9855	1748	225295304	86818775	1491357	265575
andalusia_ES	Andalusia, Spain	9827	1300	106849073	41099591	678467	101548
cataluna_ES	Cataluña, Spain	9457	1405	98887648	39496736	606613	101529
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	23717	2254	89516527	28233042	902086	87459
attica_region_EL	Attica (region), Greece	5990	1138	86340977	32201475	344256	36561
vienna_AT	Vienna, Austria	8430	1127	75095597	26200816	669112	99162
comunidad_valenciana_ES	Comunidad Valenciana, Spain	9326	1242	72731614	28560422	423773	71029
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	8734	1278	68154950	27568383	414897	71004
lombardia_IT	Lombardia, Italy	10573	2782	64978988	23776993	342995	38302
