advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	65_	65+	3899	1	22111016	6518701	255794	35759
Ciudadanos	Ciudadanos	74078667754	Facebook	65_	65+	4661	1	7762024	2402211	75237	6137
People's Vote UK	People's Vote	748608695327755	Facebook	65_	65+	3248	1	7597492	2430157	126762	20849
We are the 52%	We are the 52%	466744973727718	Facebook	65_	65+	278	1	6686836	2391177	20437	2656
38 Degrees	38 Degrees	200006375787	Facebook	65_	65+	652	1	6205668	2222165	43100	6034
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	65_	65+	384	1	5921961	2460070	27474	5200
European Parliament		178362315106	Facebook	65_	65+	916	1	5902313	2547678	36290	7895
Conservatives	The Conservative Party	8807334278	Facebook	65_	65+	1745	1	5679060	2068801	82091	10538
Podemos	Unidas Podemos	269212336568846	Facebook	65_	65+	187	1	5572498	2522462	36878	9703
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	65_	65+	3492	1	5274835	1627811	107160	10332
Partido Popular	Partido Popular	72249031214	Facebook	65_	65+	1364	1	5067654	1592570	59401	2951
The Labour Party	The Labour Party	25749647410	Facebook	65_	65+	630	1	4476021	1778448	41248	9404
Best For Britain	Best for Britain	1863944713844924	Facebook	65_	65+	749	1	4279118	1773542	64595	14509
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	65_	65+	88	1	4173799	1894842	9893	2968
SPD	SPD	47930567748	Facebook	65_	65+	6488	1	3981259	899549	124385	3734
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	65_	65+	64	1	3973223	1849972	9397	4179
Vattenfall Sverige		608975645850217	Facebook	65_	65+	28	1	3917339	1781658	48608	13431
Partito Democratico		77034286895	Facebook	65_	65+	173	1	3490606	1541323	15979	3426
Fidesz	Fidesz	9844779306	Facebook	65_	65+	93	1	3489542	1663192	11937	5870
Sosialidemokraatit SDP		108945982480217	Facebook	65_	65+	241	1	3422103	1306900	22748	4744
The Brexit Party	The Brexit Party	230416667843105	Facebook	65_	65+	110	1	3265682	1543350	49117	14312
Médecins du Monde France		265420476920	Facebook	65_	65+	1902	1	2682557	821302	49157	3941
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	65_	65+	130	1	2668652	1098343	5100	1358
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	65_	65+	739	1	2566481	964228	46371	8110
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	65_	65+	2272	1	2509316	787061	40752	3453
