advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	13_17	13-17	1058	1	12891265	5528757	40810	7536
Dungeon Defenders		107960282569653	Facebook	13_17	13-17	292	1	3871038	1603477	10301	1009
Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	13_17	13-17	13	1	2234130	975589	1789	214
Greens/EFA in the European Parliament		150527751674751	Facebook	13_17	13-17	48	1	2035249	884532	2322	348
NPO Zapp		205247699486388	Facebook	13_17	13-17	2	1	1999998	1000000	1498	600
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	13_17	13-17	62	1	1679346	678288	4991	1141
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	13_17	13-17	38	1	1279305	578822	4154	754
Europäisches Parlament Österreich		124468054313069	Facebook	13_17	13-17	29	1	1203964	496279	4755	1517
Caspar the Hat	Emily Doherty	261773154498428	Facebook	13_17	13-17	90	1	978047	272427	8949	0
SPÖ	SPÖ	77393060080	Facebook	13_17	13-17	287	1	937116	313583	5920	894
Knovva Academy		1619172795053683	Facebook	13_17	13-17	1	1	924000	462000	410	82
Die Grünen	Die Grünen	21759893033	Facebook	13_17	13-17	104	1	918661	305257	6098	1178
Make.org	Make.org	122037308191612	Facebook	13_17	13-17	17	1	830501	346657	1720	549
Claudia Gamon	NEOS	447992848717452	Facebook	13_17	13-17	301	1	776780	263169	5513	818
Sportello Amianto Nazionale		1354625791215832	Facebook	13_17	13-17	2	1	705332	282133	703	141
e.on		511324618972373	Facebook	13_17	13-17	2	1	591048	277992	382	76
Jusos Schleswig-Holstein	Jusos Schleswig-Holstein	185490505413	Facebook	13_17	13-17	34	1	581861	113927	2500	0
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	13_17	13-17	31	1	551963	254494	1327	314
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	13_17	13-17	19	1	521785	229761	1961	322
Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	13_17	13-17	41	1	506611	133463	293	62
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	13_17	13-17	1412	1	499929	110434	10705	225
European Greens		141366725876424	Facebook	13_17	13-17	30	1	497148	219288	1644	415
UNICEF Europe & Central Asia		373536278864	Facebook	13_17	13-17	1	1	492943	197177	86	0
Harald Vilimsky		547597092025909	Facebook	13_17	13-17	100	1	489126	199318	3807	912
Wholesome Culture		1664959567149320	Facebook	13_17	13-17	7	1	485769	217064	1027	190
