advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	w018	Week 18	42	1	145329253	14532389	300981	5217
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	w018	Week 18	72	1	75756802	7575680	130788	2526
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w018	Week 18	76	1	63185474	6307605	217861	13111
AMERISOFT SRL		AR573801583431647232	Google	w018	Week 18	153	1	58049920	5794590	5619	370
Freiheitliche Partei Österreich		AR333020356698701824	Google	w018	Week 18	41	1	25284165	2524316	168002	15386
Popolari per l'Italia		AR406403961759727616	Google	w018	Week 18	5	1	24871794	2487179	42846	758
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	w018	Week 18	143	1	21489347	2088784	13574	408
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	w018	Week 18	27	1	19698039	1965803	190144	3290
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	w018	Week 18	449	1	18843031	1699221	27939	1015
Občanska demokraticka strana		AR386241117529571328	Google	w018	Week 18	33	1	16275571	1609999	29456	707
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w018	Week 18	62	1	15430737	1534883	62377	1519
CDU Christlich Demokratische Union		AR68737343799951360	Google	w018	Week 18	2557	1	13943095	722500	115615	8712
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	w018	Week 18	1489	1	13329297	866916	29341	379
mmb media agentur d.o.o.		AR524572049809604608	Google	w018	Week 18	747	1	9376773	394285	27941	0
Alternativet		AR198061076825243648	Google	w018	Week 18	6	1	8677857	866785	43633	786
CDA Doetinchem		AR453512812329697280	Google	w018	Week 18	35	1	7696483	765359	1156	56
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	w018	Week 18	124	1	6974083	669749	4701	236
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	w018	Week 18	28	1	6714615	670384	740	40
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	w018	Week 18	56	1	6614617	654021	120454	2232
Liberal Alliance		AR183859784640888832	Google	w018	Week 18	101	1	5998714	566556	133285	3320
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	w018	Week 18	8	1	5645220	564522	18965	361
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	w018	Week 18	102	1	4232987	412486	1578	61
HLAS		AR312619193323225088	Google	w018	Week 18	388	1	3328378	177012	14966	239
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w018	Week 18	49	1	3291023	314142	1238	40
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	w018	Week 18	26	1	3053666	300250	2246	185
