advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Progresívne Slovensko		AR114793686864232448	Google	w012	Week 12	25	1	5380000	530000	3950	300
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	w012	Week 12	111	1	4823517	475574	1191	0
Partido Popular Regional De Canarias		AR288284801977286656	Google	w012	Week 12	63	1	3365787	326666	1828	83
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w012	Week 12	40	1	3001320	296623	676	36
Suomen Keskusta r.p.		AR441112520191639552	Google	w012	Week 12	25	1	2820854	279699	44228	762
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	w012	Week 12	2	1	1243137	124313	5529	92
COALICION CANARIA		AR489541609348661248	Google	w012	Week 12	7	1	753333	73333	12100	366
Saku Petteri Räty		AR196651502918434816	Google	w012	Week 12	19	1	742533	66666	20967	398
Alternativet		AR198061076825243648	Google	w012	Week 12	2	1	528571	52857	264	21
Fianna Fáil		AR101183107301900288	Google	w012	Week 12	17	1	265574	23323	357	18
Aalborg Venstrevælger forening		AR118173585608015872	Google	w012	Week 12	19	1	247272	24000	156	10
Gestion et Action Libérale		AR201311233196949504	Google	w012	Week 12	53	1	246689	666	3350	50
SOCIALDEMOKRATIET		AR271193993235136512	Google	w012	Week 12	2	1	200000	20000	1000	100
Hämeen Uusi Suunta ry		AR330633591832707072	Google	w012	Week 12	6	1	180000	14000	899	70
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	w012	Week 12	10	1	175000	12500	8700	224
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	w012	Week 12	1	1	173913	17391	5217	86
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	w012	Week 12	32	1	136531	5000	1927	163
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	w012	Week 12	34	1	111257	0	586	3
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w012	Week 12	24	1	84487	1380	5126	139
Kankaanpään Työväenyhdistys ry		AR217573010171756544	Google	w012	Week 12	10	1	78011	0	390	0
KW Wiosna Roberta Biedronia		AR344197991906672640	Google	w012	Week 12	5	1	50000	0	249	0
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	w012	Week 12	14	1	47878	3200	652	61
Yhteinen hyvä ry		AR296997332115783680	Google	w012	Week 12	19	1	46327	1600	375	24
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	w012	Week 12	2	1	32000	3200	9600	160
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	w012	Week 12	3	1	18888	0	94	0
