advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	w014	Week 14	95	1	58056397	5781268	266913	5090
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	w014	Week 14	171	1	15695441	1558041	3445	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w014	Week 14	69	1	7778630	759567	2769	116
Suomen Keskusta r.p.		AR441112520191639552	Google	w014	Week 14	33	1	5405525	536100	86778	1538
SOCIALDEMOKRATIET		AR271193993235136512	Google	w014	Week 14	12	1	5091575	509157	163065	2753
Arnora Oy		AR181544213152792576	Google	w014	Week 14	1	1	3636363	363636	181	18
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	w014	Week 14	23	1	2953893	290448	68070	1481
Partido Popular Regional De Canarias		AR288284801977286656	Google	w014	Week 14	136	1	2632889	252238	1674	77
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	w014	Week 14	67	1	2280447	204799	102326	2056
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	w014	Week 14	2	1	2175490	217549	9676	161
TOP 09		AR268709096956362752	Google	w014	Week 14	156	1	2007142	66666	7035	0
Rumilus Design Oy		AR391102333313875968	Google	w014	Week 14	31	1	1606173	152728	633	0
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	w014	Week 14	12	1	1344733	132224	54907	996
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	w014	Week 14	6	1	1230000	120000	300	0
Jukka Kopra		AR232680299937398784	Google	w014	Week 14	13	1	1122129	109876	47496	872
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	w014	Week 14	58	1	1120200	108776	15793	306
Venstres Landsorganisation		AR283015942256984064	Google	w014	Week 14	15	1	1029000	97500	52820	1010
Alternativet		AR198061076825243648	Google	w014	Week 14	2	1	904761	90476	452	45
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	w014	Week 14	5	1	813333	79999	466	33
Fondation Populaire		AR320938922932699136	Google	w014	Week 14	8	1	721315	71909	16818	359
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	w014	Week 14	12	1	666093	64109	18889	483
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	w014	Week 14	10	1	558748	55874	22291	417
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w014	Week 14	19	1	542853	52416	22658	405
Savo-Karjalan vihreät ry		AR343251587273064448	Google	w014	Week 14	24	1	506470	45294	494	0
Fianna Fáil		AR101183107301900288	Google	w014	Week 14	15	1	457581	45290	423	36
