advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	w017	Week 17	46	1	132932222	13292222	703827	41461
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	w017	Week 17	231	1	117452138	11682791	789597	15339
Future Innovation SRL		AR474748779908562944	Google	w017	Week 17	28	1	70866055	7085141	96037	1745
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	w017	Week 17	42	1	49061377	4906137	107893	1944
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	w017	Week 17	51	1	44550000	4440000	82050	2050
COALICION CANARIA		AR489541609348661248	Google	w017	Week 17	3502	1	34019120	966731	139496	601
AMERISOFT SRL		AR573801583431647232	Google	w017	Week 17	85	1	31633143	3152756	3015	158
Freiheitliche Partei Österreich		AR333020356698701824	Google	w017	Week 17	43	1	18361613	1830640	145110	19116
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w017	Week 17	75	1	16827787	1676933	69162	3912
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	w017	Week 17	532	1	16614884	1431798	26133	651
Partido Animalista PACMA		AR145115193901318144	Google	w017	Week 17	4	1	12666666	1266666	63611	1083
HEADS, s.r.o.		AR356967719951663104	Google	w017	Week 17	16	1	11237900	1123474	25114	495
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w017	Week 17	49	1	8988483	884883	48766	919
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	w017	Week 17	110	1	7850000	779999	99549	2366
CDA Doetinchem		AR453512812329697280	Google	w017	Week 17	35	1	7425030	738436	1080	56
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	w017	Week 17	13	1	5929651	592131	32709	696
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w017	Week 17	51	1	5726023	551000	1945	70
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	w017	Week 17	7	1	5468750	546875	13671	273
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	w017	Week 17	46	1	5437717	534855	1333	65
