advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	w020	Week 20	161	1	242149145	24183459	354067	8048
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	w020	Week 20	106	1	212407415	21240741	638106	11769
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	w020	Week 20	36	1	164416759	16441675	596575	10109
Future Innovation SRL		AR474748779908562944	Google	w020	Week 20	44	1	121871322	12187132	308224	5754
Partidul Pro Romania		AR116025139887341568	Google	w020	Week 20	181	1	110530000	10969999	207200	5050
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w020	Week 20	87	1	80968331	8080700	332006	13826
CDU Christlich Demokratische Union		AR68737343799951360	Google	w020	Week 20	6891	1	69360000	50000	344550	0
AMERISOFT SRL		AR573801583431647232	Google	w020	Week 20	78	1	65636291	6560041	40760	1055
European Parliament		AR345426421272805376	Google	w020	Week 20	338	1	64850000	6370000	884950	20100
Sloboda a Solidarita		AR242125929453715456	Google	w020	Week 20	538	1	57704101	5438910	151319	5184
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	w020	Week 20	52	1	55690000	5542500	200143	4231
SOCIALDEMOKRATIET		AR271193993235136512	Google	w020	Week 20	131	1	54915359	5479265	700000	13879
NEA DEMOKRATIA		AR351183464155840512	Google	w020	Week 20	49	1	51301428	5122142	331239	6541
Det Konservative Folkeparti		AR40969452518375424	Google	w020	Week 20	351	1	47239388	4527179	198205	4619
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	w020	Week 20	247	1	44240138	4277361	42169	1343
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	w020	Week 20	31	1	43642500	4362500	39254	962
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w020	Week 20	83	1	40387759	4027576	172810	3710
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	w020	Week 20	954	1	36366871	2924902	297752	5253
Freiheitliche Partei Österreich		AR333020356698701824	Google	w020	Week 20	35	1	35849262	3580864	210166	3651
SPOLU - občianska demokracia		AR194838133366325248	Google	w020	Week 20	111	1	35017111	3435000	221340	4288
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	w020	Week 20	2416	1	34973100	2275391	108281	1848
NEW GEN PUBLISHING SRL		AR55967615754960896	Google	w020	Week 20	63	1	32669999	3249999	8999	650
Open Vld		AR369049153717665792	Google	w020	Week 20	641	1	32628749	2867500	167787	5568
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	w020	Week 20	36	1	27585139	2752941	16131	517
Partito Democratico		AR254356072167374848	Google	w020	Week 20	42	1	26337525	2627464	296552	5269
