impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	HR	Croatia	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	19	1	18980	0	1674	0
0_1k	0 - 1k	HR	Croatia	Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	15	1	14984	0	1452	0
0_1k	0 - 1k	HR	Croatia	Bornfight		2050766478536116	Facebook	6	1	5994	0	594	0
0_1k	0 - 1k	HR	Croatia	Valter Flego	Valter Flego	441675022557503	Facebook	6	1	5993	0	528	0
0_1k	0 - 1k	HR	Croatia	MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	4	1	3996	0	352	0
0_1k	0 - 1k	HR	Croatia	Ranko Ostojić		414575348695604	Facebook	4	1	3996	0	352	0
0_1k	0 - 1k	HR	Croatia	Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	3	1	2997	0	264	0
0_1k	0 - 1k	HR	Croatia	Hrvatskadanas	Hrvatskadanas	140693889702485	Facebook	3	1	2997	0	297	0
0_1k	0 - 1k	HR	Croatia	Satirikon		1240942162719935	Facebook	3	1	2997	0	264	0
0_1k	0 - 1k	HR	Croatia	Željana Zovko		1203134436474667	Facebook	3	1	2996	0	264	0
0_1k	0 - 1k	HR	Croatia	Hrvatski suverenisti		2305130156436757	Facebook	3	1	2996	0	264	0
0_1k	0 - 1k	HR	Croatia	Jozo Radoš	Jozo Radoš	446717938731095	Facebook	2	1	1998	0	176	0
0_1k	0 - 1k	HR	Croatia	Antun Babić kandidat za predsjednika države		1106971599482775	Facebook	2	1	1998	0	176	0
0_1k	0 - 1k	HR	Croatia	Goran Kotur		1570501086345718	Facebook	2	1	1998	0	176	0
0_1k	0 - 1k	HR	Croatia	MarketsCube		294693984421347	Facebook	2	1	1998	0	176	0
0_1k	0 - 1k	HR	Croatia	Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	2	1	1997	0	176	0
0_1k	0 - 1k	HR	Croatia	Tomislav Stojak		442201595870855	Facebook	2	1	1997	0	176	0
0_1k	0 - 1k	HR	Croatia	Dalija Orešković - START		1984286805018866	Facebook	2	1	1997	0	197	0
0_1k	0 - 1k	HR	Croatia	HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	2	1	1997	0	176	0
0_1k	0 - 1k	HR	Croatia	Mladen Novak - kandidat za EP		270846540028647	Facebook	2	1	1994	0	175	0
0_1k	0 - 1k	HR	Croatia	67 je previše		254880938729284	Facebook	2	1	1979	0	174	0
0_1k	0 - 1k	HR	Croatia	European Parliament		178362315106	Facebook	2	1	1033	0	102	0
0_1k	0 - 1k	HR	Croatia	Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	1	1	999	0	88	0
0_1k	0 - 1k	HR	Croatia	Parlametar	Gong	681017252285075	Facebook	1	1	999	0	88	0
0_1k	0 - 1k	HR	Croatia	Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	1	1	999	0	88	0
