advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	Facebook	RO	Romania	92	1	36070602	16148847	76645	22249
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	Facebook	RO	Romania	184	1	33893738	15392545	95283	21325
România în primul rând	Future Innovation	770704223323599	Facebook	f	Facebook	RO	Romania	94	1	26914287	11980748	28973	6954
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f	Facebook	RO	Romania	133	1	26048181	11165533	41847	10913
Romania #nuepsd	Future Innovation	293215748279337	Facebook	f	Facebook	RO	Romania	34	1	13159797	6064928	8523	3592
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	f	Facebook	RO	Romania	82	1	11770645	5144876	43137	10252
European Parliament		178362315106	Facebook	f	Facebook	RO	Romania	90	1	10349881	4752695	50254	9474
RMDSZ	RMDSZ	102601499822802	Facebook	f	Facebook	RO	Romania	208	1	7771788	2303998	10860	1932
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	f	Facebook	RO	Romania	37	1	7179931	3274984	9530	2647
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	f	Facebook	RO	Romania	39	1	6224898	2930974	20014	5189
European Commission		107898832590939	Facebook	f	Facebook	RO	Romania	13	1	5796982	2883496	14924	3962
Litere.net	litere.net	1504323906337545	Facebook	f	Facebook	RO	Romania	13	1	4169981	1989997	3989	903
Politice.net	politice.net	2546711162025064	Facebook	f	Facebook	RO	Romania	12	1	3775989	1818000	3611	756
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f	Facebook	RO	Romania	46	1	2783961	1298523	6069	1607
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	f	Facebook	RO	Romania	13	1	2650971	1129994	3169	630
Kialo		729627343834501	Facebook	f	Facebook	RO	Romania	271	1	2610059	1044007	13996	3204
George Simion		2212856535602171	Facebook	f	Facebook	RO	Romania	26	1	2591961	1030994	5436	1428
Winkler Gyula		1560147330888040	Facebook	f	Facebook	RO	Romania	22	1	2552978	1110000	3230	819
Silvia Dinică		1128229287275038	Facebook	f	Facebook	RO	Romania	21	1	2514949	1000987	4428	1029
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	f	Facebook	RO	Romania	20	1	2435971	1125995	2285	420
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	f	Facebook	RO	Romania	22	1	2360970	994996	10332	2437
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	Facebook	RO	Romania	30	1	2213514	899892	3587	684
Declic	Declic	686190454826244	Facebook	f	Facebook	RO	Romania	15	1	2160978	1001997	4493	1134
Departamentul Fonduri Europene al PSD	Partidul Social Democrat	1030472763816931	Facebook	f	Facebook	RO	Romania	8	1	1814904	805962	670	126
Video News		329122497569429	Facebook	f	Facebook	RO	Romania	5	1	1704993	700999	1700	525
